 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     5.1854  113.7684     2020-10-01 00:00:00     0.274
     5.1854  113.7684     2020-10-01 01:00:00     0.373
     5.1854  113.7684     2020-10-01 02:00:00     0.426
     5.1854  113.7684     2020-10-01 03:00:00     0.411
     5.1854  113.7684     2020-10-01 04:00:00     0.324
     5.1854  113.7684     2020-10-01 05:00:00     0.176
     5.1854  113.7684     2020-10-01 06:00:00    -0.007
     5.1854  113.7684     2020-10-01 07:00:00    -0.190
     5.1854  113.7684     2020-10-01 08:00:00    -0.337
     5.1854  113.7684     2020-10-01 09:00:00    -0.421
     5.1854  113.7684     2020-10-01 10:00:00    -0.428
     5.1854  113.7684     2020-10-01 11:00:00    -0.362
     5.1854  113.7684     2020-10-01 12:00:00    -0.245
     5.1854  113.7684     2020-10-01 13:00:00    -0.107
     5.1854  113.7684     2020-10-01 14:00:00     0.018
     5.1854  113.7684     2020-10-01 15:00:00     0.100
     5.1854  113.7684     2020-10-01 16:00:00     0.126
     5.1854  113.7684     2020-10-01 17:00:00     0.095
     5.1854  113.7684     2020-10-01 18:00:00     0.024
     5.1854  113.7684     2020-10-01 19:00:00    -0.058
     5.1854  113.7684     2020-10-01 20:00:00    -0.123
     5.1854  113.7684     2020-10-01 21:00:00    -0.143
     5.1854  113.7684     2020-10-01 22:00:00    -0.106
     5.1854  113.7684     2020-10-01 23:00:00    -0.016
     5.1854  113.7684     2020-10-02 00:00:00     0.108
     5.1854  113.7684     2020-10-02 01:00:00     0.237
     5.1854  113.7684     2020-10-02 02:00:00     0.337
     5.1854  113.7684     2020-10-02 03:00:00     0.381
     5.1854  113.7684     2020-10-02 04:00:00     0.354
     5.1854  113.7684     2020-10-02 05:00:00     0.258
     5.1854  113.7684     2020-10-02 06:00:00     0.111
     5.1854  113.7684     2020-10-02 07:00:00    -0.055
     5.1854  113.7684     2020-10-02 08:00:00    -0.203
     5.1854  113.7684     2020-10-02 09:00:00    -0.302
     5.1854  113.7684     2020-10-02 10:00:00    -0.331
     5.1854  113.7684     2020-10-02 11:00:00    -0.289
     5.1854  113.7684     2020-10-02 12:00:00    -0.189
     5.1854  113.7684     2020-10-02 13:00:00    -0.061
     5.1854  113.7684     2020-10-02 14:00:00     0.062
     5.1854  113.7684     2020-10-02 15:00:00     0.148
     5.1854  113.7684     2020-10-02 16:00:00     0.175
     5.1854  113.7684     2020-10-02 17:00:00     0.138
     5.1854  113.7684     2020-10-02 18:00:00     0.050
     5.1854  113.7684     2020-10-02 19:00:00    -0.064
     5.1854  113.7684     2020-10-02 20:00:00    -0.170
     5.1854  113.7684     2020-10-02 21:00:00    -0.237
     5.1854  113.7684     2020-10-02 22:00:00    -0.245
     5.1854  113.7684     2020-10-02 23:00:00    -0.188
     5.1854  113.7684     2020-10-03 00:00:00    -0.077
     5.1854  113.7684     2020-10-03 01:00:00     0.061
     5.1854  113.7684     2020-10-03 02:00:00     0.192
     5.1854  113.7684     2020-10-03 03:00:00     0.285
     5.1854  113.7684     2020-10-03 04:00:00     0.316
     5.1854  113.7684     2020-10-03 05:00:00     0.278
     5.1854  113.7684     2020-10-03 06:00:00     0.181
     5.1854  113.7684     2020-10-03 07:00:00     0.051
     5.1854  113.7684     2020-10-03 08:00:00    -0.081
     5.1854  113.7684     2020-10-03 09:00:00    -0.179
     5.1854  113.7684     2020-10-03 10:00:00    -0.221
     5.1854  113.7684     2020-10-03 11:00:00    -0.197
     5.1854  113.7684     2020-10-03 12:00:00    -0.115
     5.1854  113.7684     2020-10-03 13:00:00     0.003
     5.1854  113.7684     2020-10-03 14:00:00     0.123
     5.1854  113.7684     2020-10-03 15:00:00     0.211
     5.1854  113.7684     2020-10-03 16:00:00     0.243
     5.1854  113.7684     2020-10-03 17:00:00     0.207
     5.1854  113.7684     2020-10-03 18:00:00     0.111
     5.1854  113.7684     2020-10-03 19:00:00    -0.025
     5.1854  113.7684     2020-10-03 20:00:00    -0.168
     5.1854  113.7684     2020-10-03 21:00:00    -0.282
     5.1854  113.7684     2020-10-03 22:00:00    -0.341
     5.1854  113.7684     2020-10-03 23:00:00    -0.330
     5.1854  113.7684     2020-10-04 00:00:00    -0.253
     5.1854  113.7684     2020-10-04 01:00:00    -0.129
     5.1854  113.7684     2020-10-04 02:00:00     0.012
     5.1854  113.7684     2020-10-04 03:00:00     0.136
     5.1854  113.7684     2020-10-04 04:00:00     0.215
     5.1854  113.7684     2020-10-04 05:00:00     0.234
     5.1854  113.7684     2020-10-04 06:00:00     0.194
     5.1854  113.7684     2020-10-04 07:00:00     0.110
     5.1854  113.7684     2020-10-04 08:00:00     0.010
     5.1854  113.7684     2020-10-04 09:00:00    -0.074
     5.1854  113.7684     2020-10-04 10:00:00    -0.116
     5.1854  113.7684     2020-10-04 11:00:00    -0.102
     5.1854  113.7684     2020-10-04 12:00:00    -0.033
     5.1854  113.7684     2020-10-04 13:00:00     0.073
     5.1854  113.7684     2020-10-04 14:00:00     0.189
     5.1854  113.7684     2020-10-04 15:00:00     0.280
     5.1854  113.7684     2020-10-04 16:00:00     0.320
     5.1854  113.7684     2020-10-04 17:00:00     0.293
     5.1854  113.7684     2020-10-04 18:00:00     0.198
     5.1854  113.7684     2020-10-04 19:00:00     0.052
     5.1854  113.7684     2020-10-04 20:00:00    -0.116
     5.1854  113.7684     2020-10-04 21:00:00    -0.270
     5.1854  113.7684     2020-10-04 22:00:00    -0.379
     5.1854  113.7684     2020-10-04 23:00:00    -0.422
     5.1854  113.7684     2020-10-05 00:00:00    -0.392
     5.1854  113.7684     2020-10-05 01:00:00    -0.302
     5.1854  113.7684     2020-10-05 02:00:00    -0.174
     5.1854  113.7684     2020-10-05 03:00:00    -0.040
     5.1854  113.7684     2020-10-05 04:00:00     0.070
     5.1854  113.7684     2020-10-05 05:00:00     0.135
     5.1854  113.7684     2020-10-05 06:00:00     0.148
     5.1854  113.7684     2020-10-05 07:00:00     0.115
     5.1854  113.7684     2020-10-05 08:00:00     0.057
     5.1854  113.7684     2020-10-05 09:00:00    -0.001
     5.1854  113.7684     2020-10-05 10:00:00    -0.031
     5.1854  113.7684     2020-10-05 11:00:00    -0.018
     5.1854  113.7684     2020-10-05 12:00:00     0.042
     5.1854  113.7684     2020-10-05 13:00:00     0.139
     5.1854  113.7684     2020-10-05 14:00:00     0.249
     5.1854  113.7684     2020-10-05 15:00:00     0.343
     5.1854  113.7684     2020-10-05 16:00:00     0.394
     5.1854  113.7684     2020-10-05 17:00:00     0.380
     5.1854  113.7684     2020-10-05 18:00:00     0.297
