 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -3.0891  107.3981     2020-10-01 00:00:00    -0.439
    -3.0891  107.3981     2020-10-01 01:00:00    -0.416
    -3.0891  107.3981     2020-10-01 02:00:00    -0.350
    -3.0891  107.3981     2020-10-01 03:00:00    -0.250
    -3.0891  107.3981     2020-10-01 04:00:00    -0.127
    -3.0891  107.3981     2020-10-01 05:00:00    -0.001
    -3.0891  107.3981     2020-10-01 06:00:00     0.114
    -3.0891  107.3981     2020-10-01 07:00:00     0.204
    -3.0891  107.3981     2020-10-01 08:00:00     0.262
    -3.0891  107.3981     2020-10-01 09:00:00     0.287
    -3.0891  107.3981     2020-10-01 10:00:00     0.284
    -3.0891  107.3981     2020-10-01 11:00:00     0.262
    -3.0891  107.3981     2020-10-01 12:00:00     0.231
    -3.0891  107.3981     2020-10-01 13:00:00     0.199
    -3.0891  107.3981     2020-10-01 14:00:00     0.171
    -3.0891  107.3981     2020-10-01 15:00:00     0.147
    -3.0891  107.3981     2020-10-01 16:00:00     0.123
    -3.0891  107.3981     2020-10-01 17:00:00     0.092
    -3.0891  107.3981     2020-10-01 18:00:00     0.049
    -3.0891  107.3981     2020-10-01 19:00:00    -0.008
    -3.0891  107.3981     2020-10-01 20:00:00    -0.078
    -3.0891  107.3981     2020-10-01 21:00:00    -0.154
    -3.0891  107.3981     2020-10-01 22:00:00    -0.225
    -3.0891  107.3981     2020-10-01 23:00:00    -0.279
    -3.0891  107.3981     2020-10-02 00:00:00    -0.306
    -3.0891  107.3981     2020-10-02 01:00:00    -0.300
    -3.0891  107.3981     2020-10-02 02:00:00    -0.258
    -3.0891  107.3981     2020-10-02 03:00:00    -0.187
    -3.0891  107.3981     2020-10-02 04:00:00    -0.098
    -3.0891  107.3981     2020-10-02 05:00:00    -0.004
    -3.0891  107.3981     2020-10-02 06:00:00     0.080
    -3.0891  107.3981     2020-10-02 07:00:00     0.142
    -3.0891  107.3981     2020-10-02 08:00:00     0.177
    -3.0891  107.3981     2020-10-02 09:00:00     0.184
    -3.0891  107.3981     2020-10-02 10:00:00     0.169
    -3.0891  107.3981     2020-10-02 11:00:00     0.140
    -3.0891  107.3981     2020-10-02 12:00:00     0.108
    -3.0891  107.3981     2020-10-02 13:00:00     0.081
    -3.0891  107.3981     2020-10-02 14:00:00     0.063
    -3.0891  107.3981     2020-10-02 15:00:00     0.055
    -3.0891  107.3981     2020-10-02 16:00:00     0.053
    -3.0891  107.3981     2020-10-02 17:00:00     0.051
    -3.0891  107.3981     2020-10-02 18:00:00     0.041
    -3.0891  107.3981     2020-10-02 19:00:00     0.019
    -3.0891  107.3981     2020-10-02 20:00:00    -0.015
    -3.0891  107.3981     2020-10-02 21:00:00    -0.058
    -3.0891  107.3981     2020-10-02 22:00:00    -0.103
    -3.0891  107.3981     2020-10-02 23:00:00    -0.139
    -3.0891  107.3981     2020-10-03 00:00:00    -0.159
    -3.0891  107.3981     2020-10-03 01:00:00    -0.156
    -3.0891  107.3981     2020-10-03 02:00:00    -0.128
    -3.0891  107.3981     2020-10-03 03:00:00    -0.080
    -3.0891  107.3981     2020-10-03 04:00:00    -0.020
    -3.0891  107.3981     2020-10-03 05:00:00     0.040
    -3.0891  107.3981     2020-10-03 06:00:00     0.090
    -3.0891  107.3981     2020-10-03 07:00:00     0.120
    -3.0891  107.3981     2020-10-03 08:00:00     0.125
    -3.0891  107.3981     2020-10-03 09:00:00     0.107
    -3.0891  107.3981     2020-10-03 10:00:00     0.071
    -3.0891  107.3981     2020-10-03 11:00:00     0.026
    -3.0891  107.3981     2020-10-03 12:00:00    -0.017
    -3.0891  107.3981     2020-10-03 13:00:00    -0.049
    -3.0891  107.3981     2020-10-03 14:00:00    -0.065
    -3.0891  107.3981     2020-10-03 15:00:00    -0.065
    -3.0891  107.3981     2020-10-03 16:00:00    -0.052
    -3.0891  107.3981     2020-10-03 17:00:00    -0.032
    -3.0891  107.3981     2020-10-03 18:00:00    -0.013
    -3.0891  107.3981     2020-10-03 19:00:00    -0.000
    -3.0891  107.3981     2020-10-03 20:00:00     0.003
    -3.0891  107.3981     2020-10-03 21:00:00    -0.002
    -3.0891  107.3981     2020-10-03 22:00:00    -0.012
    -3.0891  107.3981     2020-10-03 23:00:00    -0.020
    -3.0891  107.3981     2020-10-04 00:00:00    -0.020
