 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     5.5615  113.0606     2020-10-01 00:00:00     0.265
     5.5615  113.0606     2020-10-01 01:00:00     0.363
     5.5615  113.0606     2020-10-01 02:00:00     0.417
     5.5615  113.0606     2020-10-01 03:00:00     0.406
     5.5615  113.0606     2020-10-01 04:00:00     0.325
     5.5615  113.0606     2020-10-01 05:00:00     0.182
     5.5615  113.0606     2020-10-01 06:00:00     0.003
     5.5615  113.0606     2020-10-01 07:00:00    -0.178
     5.5615  113.0606     2020-10-01 08:00:00    -0.327
     5.5615  113.0606     2020-10-01 09:00:00    -0.415
     5.5615  113.0606     2020-10-01 10:00:00    -0.428
     5.5615  113.0606     2020-10-01 11:00:00    -0.368
     5.5615  113.0606     2020-10-01 12:00:00    -0.255
     5.5615  113.0606     2020-10-01 13:00:00    -0.119
     5.5615  113.0606     2020-10-01 14:00:00     0.006
     5.5615  113.0606     2020-10-01 15:00:00     0.093
     5.5615  113.0606     2020-10-01 16:00:00     0.124
     5.5615  113.0606     2020-10-01 17:00:00     0.099
     5.5615  113.0606     2020-10-01 18:00:00     0.034
     5.5615  113.0606     2020-10-01 19:00:00    -0.047
     5.5615  113.0606     2020-10-01 20:00:00    -0.111
     5.5615  113.0606     2020-10-01 21:00:00    -0.135
     5.5615  113.0606     2020-10-01 22:00:00    -0.104
     5.5615  113.0606     2020-10-01 23:00:00    -0.020
     5.5615  113.0606     2020-10-02 00:00:00     0.099
     5.5615  113.0606     2020-10-02 01:00:00     0.225
     5.5615  113.0606     2020-10-02 02:00:00     0.326
     5.5615  113.0606     2020-10-02 03:00:00     0.373
     5.5615  113.0606     2020-10-02 04:00:00     0.352
     5.5615  113.0606     2020-10-02 05:00:00     0.261
     5.5615  113.0606     2020-10-02 06:00:00     0.119
     5.5615  113.0606     2020-10-02 07:00:00    -0.043
     5.5615  113.0606     2020-10-02 08:00:00    -0.191
     5.5615  113.0606     2020-10-02 09:00:00    -0.293
     5.5615  113.0606     2020-10-02 10:00:00    -0.328
     5.5615  113.0606     2020-10-02 11:00:00    -0.292
     5.5615  113.0606     2020-10-02 12:00:00    -0.197
     5.5615  113.0606     2020-10-02 13:00:00    -0.072
     5.5615  113.0606     2020-10-02 14:00:00     0.051
     5.5615  113.0606     2020-10-02 15:00:00     0.139
     5.5615  113.0606     2020-10-02 16:00:00     0.171
     5.5615  113.0606     2020-10-02 17:00:00     0.140
     5.5615  113.0606     2020-10-02 18:00:00     0.058
     5.5615  113.0606     2020-10-02 19:00:00    -0.053
     5.5615  113.0606     2020-10-02 20:00:00    -0.158
     5.5615  113.0606     2020-10-02 21:00:00    -0.228
     5.5615  113.0606     2020-10-02 22:00:00    -0.241
     5.5615  113.0606     2020-10-02 23:00:00    -0.189
     5.5615  113.0606     2020-10-03 00:00:00    -0.084
     5.5615  113.0606     2020-10-03 01:00:00     0.049
