 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -0.8324  136.4185     2020-10-01 00:00:00     0.106
    -0.8324  136.4185     2020-10-01 01:00:00    -0.172
    -0.8324  136.4185     2020-10-01 02:00:00    -0.416
    -0.8324  136.4185     2020-10-01 03:00:00    -0.566
    -0.8324  136.4185     2020-10-01 04:00:00    -0.583
    -0.8324  136.4185     2020-10-01 05:00:00    -0.461
    -0.8324  136.4185     2020-10-01 06:00:00    -0.229
    -0.8324  136.4185     2020-10-01 07:00:00     0.054
    -0.8324  136.4185     2020-10-01 08:00:00     0.318
    -0.8324  136.4185     2020-10-01 09:00:00     0.498
    -0.8324  136.4185     2020-10-01 10:00:00     0.548
    -0.8324  136.4185     2020-10-01 11:00:00     0.458
    -0.8324  136.4185     2020-10-01 12:00:00     0.252
    -0.8324  136.4185     2020-10-01 13:00:00    -0.015
    -0.8324  136.4185     2020-10-01 14:00:00    -0.275
    -0.8324  136.4185     2020-10-01 15:00:00    -0.458
    -0.8324  136.4185     2020-10-01 16:00:00    -0.518
    -0.8324  136.4185     2020-10-01 17:00:00    -0.440
    -0.8324  136.4185     2020-10-01 18:00:00    -0.243
    -0.8324  136.4185     2020-10-01 19:00:00     0.021
    -0.8324  136.4185     2020-10-01 20:00:00     0.284
    -0.8324  136.4185     2020-10-01 21:00:00     0.475
    -0.8324  136.4185     2020-10-01 22:00:00     0.545
    -0.8324  136.4185     2020-10-01 23:00:00     0.475
    -0.8324  136.4185     2020-10-02 00:00:00     0.282
    -0.8324  136.4185     2020-10-02 01:00:00     0.015
    -0.8324  136.4185     2020-10-02 02:00:00    -0.257
    -0.8324  136.4185     2020-10-02 03:00:00    -0.464
    -0.8324  136.4185     2020-10-02 04:00:00    -0.552
    -0.8324  136.4185     2020-10-02 05:00:00    -0.497
    -0.8324  136.4185     2020-10-02 06:00:00    -0.313
    -0.8324  136.4185     2020-10-02 07:00:00    -0.046
    -0.8324  136.4185     2020-10-02 08:00:00     0.234
    -0.8324  136.4185     2020-10-02 09:00:00     0.456
    -0.8324  136.4185     2020-10-02 10:00:00     0.562
    -0.8324  136.4185     2020-10-02 11:00:00     0.523
    -0.8324  136.4185     2020-10-02 12:00:00     0.349
    -0.8324  136.4185     2020-10-02 13:00:00     0.083
    -0.8324  136.4185     2020-10-02 14:00:00    -0.208
    -0.8324  136.4185     2020-10-02 15:00:00    -0.450
    -0.8324  136.4185     2020-10-02 16:00:00    -0.582
    -0.8324  136.4185     2020-10-02 17:00:00    -0.570
    -0.8324  136.4185     2020-10-02 18:00:00    -0.419
    -0.8324  136.4185     2020-10-02 19:00:00    -0.167
    -0.8324  136.4185     2020-10-02 20:00:00     0.122
    -0.8324  136.4185     2020-10-02 21:00:00     0.374
    -0.8324  136.4185     2020-10-02 22:00:00     0.526
    -0.8324  136.4185     2020-10-02 23:00:00     0.541
    -0.8324  136.4185     2020-10-03 00:00:00     0.417
    -0.8324  136.4185     2020-10-03 01:00:00     0.190
    -0.8324  136.4185     2020-10-03 02:00:00    -0.080
    -0.8324  136.4185     2020-10-03 03:00:00    -0.321
    -0.8324  136.4185     2020-10-03 04:00:00    -0.468
    -0.8324  136.4185     2020-10-03 05:00:00    -0.482
    -0.8324  136.4185     2020-10-03 06:00:00    -0.359
    -0.8324  136.4185     2020-10-03 07:00:00    -0.131
    -0.8324  136.4185     2020-10-03 08:00:00     0.142
    -0.8324  136.4185     2020-10-03 09:00:00     0.388
    -0.8324  136.4185     2020-10-03 10:00:00     0.541
    -0.8324  136.4185     2020-10-03 11:00:00     0.559
    -0.8324  136.4185     2020-10-03 12:00:00     0.432
    -0.8324  136.4185     2020-10-03 13:00:00     0.191
    -0.8324  136.4185     2020-10-03 14:00:00    -0.108
    -0.8324  136.4185     2020-10-03 15:00:00    -0.390
    -0.8324  136.4185     2020-10-03 16:00:00    -0.586
    -0.8324  136.4185     2020-10-03 17:00:00    -0.648
    -0.8324  136.4185     2020-10-03 18:00:00    -0.562
    -0.8324  136.4185     2020-10-03 19:00:00    -0.351
    -0.8324  136.4185     2020-10-03 20:00:00    -0.067
    -0.8324  136.4185     2020-10-03 21:00:00     0.218
    -0.8324  136.4185     2020-10-03 22:00:00     0.434
    -0.8324  136.4185     2020-10-03 23:00:00     0.532
    -0.8324  136.4185     2020-10-04 00:00:00     0.490
    -0.8324  136.4185     2020-10-04 01:00:00     0.327
    -0.8324  136.4185     2020-10-04 02:00:00     0.089
    -0.8324  136.4185     2020-10-04 03:00:00    -0.156
    -0.8324  136.4185     2020-10-04 04:00:00    -0.342
    -0.8324  136.4185     2020-10-04 05:00:00    -0.417
    -0.8324  136.4185     2020-10-04 06:00:00    -0.360
    -0.8324  136.4185     2020-10-04 07:00:00    -0.188
    -0.8324  136.4185     2020-10-04 08:00:00     0.056
    -0.8324  136.4185     2020-10-04 09:00:00     0.304
    -0.8324  136.4185     2020-10-04 10:00:00     0.489
    -0.8324  136.4185     2020-10-04 11:00:00     0.559
    -0.8324  136.4185     2020-10-04 12:00:00     0.489
    -0.8324  136.4185     2020-10-04 13:00:00     0.291
    -0.8324  136.4185     2020-10-04 14:00:00     0.011
    -0.8324  136.4185     2020-10-04 15:00:00    -0.286
    -0.8324  136.4185     2020-10-04 16:00:00    -0.530
    -0.8324  136.4185     2020-10-04 17:00:00    -0.661
    -0.8324  136.4185     2020-10-04 18:00:00    -0.650
    -0.8324  136.4185     2020-10-04 19:00:00    -0.502
    -0.8324  136.4185     2020-10-04 20:00:00    -0.255
    -0.8324  136.4185     2020-10-04 21:00:00     0.031
    -0.8324  136.4185     2020-10-04 22:00:00     0.285
    -0.8324  136.4185     2020-10-04 23:00:00     0.450
    -0.8324  136.4185     2020-10-05 00:00:00     0.490
    -0.8324  136.4185     2020-10-05 01:00:00     0.405
    -0.8324  136.4185     2020-10-05 02:00:00     0.224
    -0.8324  136.4185     2020-10-05 03:00:00     0.003
    -0.8324  136.4185     2020-10-05 04:00:00    -0.195
    -0.8324  136.4185     2020-10-05 05:00:00    -0.312
    -0.8324  136.4185     2020-10-05 06:00:00    -0.317
    -0.8324  136.4185     2020-10-05 07:00:00    -0.206
    -0.8324  136.4185     2020-10-05 08:00:00    -0.010
    -0.8324  136.4185     2020-10-05 09:00:00     0.218
    -0.8324  136.4185     2020-10-05 10:00:00     0.415
    -0.8324  136.4185     2020-10-05 11:00:00     0.524
    -0.8324  136.4185     2020-10-05 12:00:00     0.509
    -0.8324  136.4185     2020-10-05 13:00:00     0.368
    -0.8324  136.4185     2020-10-05 14:00:00     0.127
    -0.8324  136.4185     2020-10-05 15:00:00    -0.158
    -0.8324  136.4185     2020-10-05 16:00:00    -0.424
    -0.8324  136.4185     2020-10-05 17:00:00    -0.609
    -0.8324  136.4185     2020-10-05 18:00:00    -0.672
    -0.8324  136.4185     2020-10-05 19:00:00    -0.599
    -0.8324  136.4185     2020-10-05 20:00:00    -0.412
    -0.8324  136.4185     2020-10-05 21:00:00    -0.157
    -0.8324  136.4185     2020-10-05 22:00:00     0.104
    -0.8324  136.4185     2020-10-05 23:00:00     0.311
    -0.8324  136.4185     2020-10-06 00:00:00     0.420
    -0.8324  136.4185     2020-10-06 01:00:00     0.413
    -0.8324  136.4185     2020-10-06 02:00:00     0.305
    -0.8324  136.4185     2020-10-06 03:00:00     0.132
    -0.8324  136.4185     2020-10-06 04:00:00    -0.050
    -0.8324  136.4185     2020-10-06 05:00:00    -0.186
    -0.8324  136.4185     2020-10-06 06:00:00    -0.237
