 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     4.8092  104.9207     2020-10-01 00:00:00     0.545
     4.8092  104.9207     2020-10-01 01:00:00     0.566
     4.8092  104.9207     2020-10-01 02:00:00     0.495
     4.8092  104.9207     2020-10-01 03:00:00     0.351
     4.8092  104.9207     2020-10-01 04:00:00     0.167
     4.8092  104.9207     2020-10-01 05:00:00    -0.015
     4.8092  104.9207     2020-10-01 06:00:00    -0.156
     4.8092  104.9207     2020-10-01 07:00:00    -0.231
     4.8092  104.9207     2020-10-01 08:00:00    -0.231
     4.8092  104.9207     2020-10-01 09:00:00    -0.169
     4.8092  104.9207     2020-10-01 10:00:00    -0.072
     4.8092  104.9207     2020-10-01 11:00:00     0.024
     4.8092  104.9207     2020-10-01 12:00:00     0.085
     4.8092  104.9207     2020-10-01 13:00:00     0.089
     4.8092  104.9207     2020-10-01 14:00:00     0.029
     4.8092  104.9207     2020-10-01 15:00:00    -0.080
     4.8092  104.9207     2020-10-01 16:00:00    -0.209
     4.8092  104.9207     2020-10-01 17:00:00    -0.320
     4.8092  104.9207     2020-10-01 18:00:00    -0.379
     4.8092  104.9207     2020-10-01 19:00:00    -0.363
     4.8092  104.9207     2020-10-01 20:00:00    -0.266
     4.8092  104.9207     2020-10-01 21:00:00    -0.104
     4.8092  104.9207     2020-10-01 22:00:00     0.091
     4.8092  104.9207     2020-10-01 23:00:00     0.275
     4.8092  104.9207     2020-10-02 00:00:00     0.409
     4.8092  104.9207     2020-10-02 01:00:00     0.461
     4.8092  104.9207     2020-10-02 02:00:00     0.422
     4.8092  104.9207     2020-10-02 03:00:00     0.301
     4.8092  104.9207     2020-10-02 04:00:00     0.128
     4.8092  104.9207     2020-10-02 05:00:00    -0.054
     4.8092  104.9207     2020-10-02 06:00:00    -0.205
     4.8092  104.9207     2020-10-02 07:00:00    -0.288
     4.8092  104.9207     2020-10-02 08:00:00    -0.289
     4.8092  104.9207     2020-10-02 09:00:00    -0.213
     4.8092  104.9207     2020-10-02 10:00:00    -0.084
     4.8092  104.9207     2020-10-02 11:00:00     0.060
     4.8092  104.9207     2020-10-02 12:00:00     0.178
     4.8092  104.9207     2020-10-02 13:00:00     0.238
     4.8092  104.9207     2020-10-02 14:00:00     0.223
     4.8092  104.9207     2020-10-02 15:00:00     0.136
     4.8092  104.9207     2020-10-02 16:00:00     0.002
     4.8092  104.9207     2020-10-02 17:00:00    -0.143
     4.8092  104.9207     2020-10-02 18:00:00    -0.260
