 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -0.8324  105.6285     2020-10-01 00:00:00    -0.561
    -0.8324  105.6285     2020-10-01 01:00:00    -0.512
    -0.8324  105.6285     2020-10-01 02:00:00    -0.425
    -0.8324  105.6285     2020-10-01 03:00:00    -0.305
    -0.8324  105.6285     2020-10-01 04:00:00    -0.161
    -0.8324  105.6285     2020-10-01 05:00:00    -0.005
    -0.8324  105.6285     2020-10-01 06:00:00     0.150
    -0.8324  105.6285     2020-10-01 07:00:00     0.289
    -0.8324  105.6285     2020-10-01 08:00:00     0.401
    -0.8324  105.6285     2020-10-01 09:00:00     0.477
    -0.8324  105.6285     2020-10-01 10:00:00     0.512
    -0.8324  105.6285     2020-10-01 11:00:00     0.508
    -0.8324  105.6285     2020-10-01 12:00:00     0.469
    -0.8324  105.6285     2020-10-01 13:00:00     0.402
    -0.8324  105.6285     2020-10-01 14:00:00     0.318
    -0.8324  105.6285     2020-10-01 15:00:00     0.223
    -0.8324  105.6285     2020-10-01 16:00:00     0.126
    -0.8324  105.6285     2020-10-01 17:00:00     0.030
    -0.8324  105.6285     2020-10-01 18:00:00    -0.062
    -0.8324  105.6285     2020-10-01 19:00:00    -0.148
    -0.8324  105.6285     2020-10-01 20:00:00    -0.228
    -0.8324  105.6285     2020-10-01 21:00:00    -0.298
    -0.8324  105.6285     2020-10-01 22:00:00    -0.356
    -0.8324  105.6285     2020-10-01 23:00:00    -0.397
    -0.8324  105.6285     2020-10-02 00:00:00    -0.414
    -0.8324  105.6285     2020-10-02 01:00:00    -0.404
    -0.8324  105.6285     2020-10-02 02:00:00    -0.363
    -0.8324  105.6285     2020-10-02 03:00:00    -0.292
    -0.8324  105.6285     2020-10-02 04:00:00    -0.196
    -0.8324  105.6285     2020-10-02 05:00:00    -0.084
    -0.8324  105.6285     2020-10-02 06:00:00     0.033
    -0.8324  105.6285     2020-10-02 07:00:00     0.143
    -0.8324  105.6285     2020-10-02 08:00:00     0.235
    -0.8324  105.6285     2020-10-02 09:00:00     0.299
    -0.8324  105.6285     2020-10-02 10:00:00     0.331
    -0.8324  105.6285     2020-10-02 11:00:00     0.333
    -0.8324  105.6285     2020-10-02 12:00:00     0.309
    -0.8324  105.6285     2020-10-02 13:00:00     0.266
    -0.8324  105.6285     2020-10-02 14:00:00     0.212
    -0.8324  105.6285     2020-10-02 15:00:00     0.156
    -0.8324  105.6285     2020-10-02 16:00:00     0.103
    -0.8324  105.6285     2020-10-02 17:00:00     0.055
    -0.8324  105.6285     2020-10-02 18:00:00     0.012
    -0.8324  105.6285     2020-10-02 19:00:00    -0.028
    -0.8324  105.6285     2020-10-02 20:00:00    -0.068
    -0.8324  105.6285     2020-10-02 21:00:00    -0.109
    -0.8324  105.6285     2020-10-02 22:00:00    -0.150
    -0.8324  105.6285     2020-10-02 23:00:00    -0.188
    -0.8324  105.6285     2020-10-03 00:00:00    -0.218
    -0.8324  105.6285     2020-10-03 01:00:00    -0.234
    -0.8324  105.6285     2020-10-03 02:00:00    -0.230
    -0.8324  105.6285     2020-10-03 03:00:00    -0.205
    -0.8324  105.6285     2020-10-03 04:00:00    -0.159
    -0.8324  105.6285     2020-10-03 05:00:00    -0.097
    -0.8324  105.6285     2020-10-03 06:00:00    -0.027
    -0.8324  105.6285     2020-10-03 07:00:00     0.041
    -0.8324  105.6285     2020-10-03 08:00:00     0.097
    -0.8324  105.6285     2020-10-03 09:00:00     0.134
    -0.8324  105.6285     2020-10-03 10:00:00     0.149
    -0.8324  105.6285     2020-10-03 11:00:00     0.142
    -0.8324  105.6285     2020-10-03 12:00:00     0.118
    -0.8324  105.6285     2020-10-03 13:00:00     0.085
    -0.8324  105.6285     2020-10-03 14:00:00     0.052
    -0.8324  105.6285     2020-10-03 15:00:00     0.026
    -0.8324  105.6285     2020-10-03 16:00:00     0.012
    -0.8324  105.6285     2020-10-03 17:00:00     0.010
    -0.8324  105.6285     2020-10-03 18:00:00     0.019
    -0.8324  105.6285     2020-10-03 19:00:00     0.032
    -0.8324  105.6285     2020-10-03 20:00:00     0.043
    -0.8324  105.6285     2020-10-03 21:00:00     0.047
    -0.8324  105.6285     2020-10-03 22:00:00     0.040
    -0.8324  105.6285     2020-10-03 23:00:00     0.023
    -0.8324  105.6285     2020-10-04 00:00:00    -0.000
    -0.8324  105.6285     2020-10-04 01:00:00    -0.025
    -0.8324  105.6285     2020-10-04 02:00:00    -0.045
    -0.8324  105.6285     2020-10-04 03:00:00    -0.055
    -0.8324  105.6285     2020-10-04 04:00:00    -0.053
    -0.8324  105.6285     2020-10-04 05:00:00    -0.040
    -0.8324  105.6285     2020-10-04 06:00:00    -0.021
    -0.8324  105.6285     2020-10-04 07:00:00    -0.002
    -0.8324  105.6285     2020-10-04 08:00:00     0.010
    -0.8324  105.6285     2020-10-04 09:00:00     0.009
    -0.8324  105.6285     2020-10-04 10:00:00    -0.007
    -0.8324  105.6285     2020-10-04 11:00:00    -0.037
    -0.8324  105.6285     2020-10-04 12:00:00    -0.074
    -0.8324  105.6285     2020-10-04 13:00:00    -0.111
    -0.8324  105.6285     2020-10-04 14:00:00    -0.139
    -0.8324  105.6285     2020-10-04 15:00:00    -0.148
    -0.8324  105.6285     2020-10-04 16:00:00    -0.135
    -0.8324  105.6285     2020-10-04 17:00:00    -0.099
    -0.8324  105.6285     2020-10-04 18:00:00    -0.044
    -0.8324  105.6285     2020-10-04 19:00:00     0.021
    -0.8324  105.6285     2020-10-04 20:00:00     0.086
    -0.8324  105.6285     2020-10-04 21:00:00     0.143
    -0.8324  105.6285     2020-10-04 22:00:00     0.184
    -0.8324  105.6285     2020-10-04 23:00:00     0.204
    -0.8324  105.6285     2020-10-05 00:00:00     0.205
    -0.8324  105.6285     2020-10-05 01:00:00     0.189
    -0.8324  105.6285     2020-10-05 02:00:00     0.164
    -0.8324  105.6285     2020-10-05 03:00:00     0.134
    -0.8324  105.6285     2020-10-05 04:00:00     0.104
    -0.8324  105.6285     2020-10-05 05:00:00     0.077
    -0.8324  105.6285     2020-10-05 06:00:00     0.050
    -0.8324  105.6285     2020-10-05 07:00:00     0.022
    -0.8324  105.6285     2020-10-05 08:00:00    -0.013
    -0.8324  105.6285     2020-10-05 09:00:00    -0.057
    -0.8324  105.6285     2020-10-05 10:00:00    -0.111
    -0.8324  105.6285     2020-10-05 11:00:00    -0.173
    -0.8324  105.6285     2020-10-05 12:00:00    -0.236
    -0.8324  105.6285     2020-10-05 13:00:00    -0.291
    -0.8324  105.6285     2020-10-05 14:00:00    -0.327
    -0.8324  105.6285     2020-10-05 15:00:00    -0.336
    -0.8324  105.6285     2020-10-05 16:00:00    -0.312
    -0.8324  105.6285     2020-10-05 17:00:00    -0.255
    -0.8324  105.6285     2020-10-05 18:00:00    -0.168
    -0.8324  105.6285     2020-10-05 19:00:00    -0.061
    -0.8324  105.6285     2020-10-05 20:00:00     0.053
    -0.8324  105.6285     2020-10-05 21:00:00     0.162
    -0.8324  105.6285     2020-10-05 22:00:00     0.255
    -0.8324  105.6285     2020-10-05 23:00:00     0.323
    -0.8324  105.6285     2020-10-06 00:00:00     0.362
    -0.8324  105.6285     2020-10-06 01:00:00     0.374
    -0.8324  105.6285     2020-10-06 02:00:00     0.362
    -0.8324  105.6285     2020-10-06 03:00:00     0.332
    -0.8324  105.6285     2020-10-06 04:00:00     0.289
