 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
   -10.9875  105.2746     2020-10-01 00:00:00     0.409
   -10.9875  105.2746     2020-10-01 01:00:00     0.404
   -10.9875  105.2746     2020-10-01 02:00:00     0.299
   -10.9875  105.2746     2020-10-01 03:00:00     0.117
   -10.9875  105.2746     2020-10-01 04:00:00    -0.097
   -10.9875  105.2746     2020-10-01 05:00:00    -0.291
   -10.9875  105.2746     2020-10-01 06:00:00    -0.416
   -10.9875  105.2746     2020-10-01 07:00:00    -0.440
   -10.9875  105.2746     2020-10-01 08:00:00    -0.357
   -10.9875  105.2746     2020-10-01 09:00:00    -0.187
   -10.9875  105.2746     2020-10-01 10:00:00     0.027
   -10.9875  105.2746     2020-10-01 11:00:00     0.231
   -10.9875  105.2746     2020-10-01 12:00:00     0.373
   -10.9875  105.2746     2020-10-01 13:00:00     0.416
   -10.9875  105.2746     2020-10-01 14:00:00     0.352
   -10.9875  105.2746     2020-10-01 15:00:00     0.196
   -10.9875  105.2746     2020-10-01 16:00:00    -0.011
   -10.9875  105.2746     2020-10-01 17:00:00    -0.215
   -10.9875  105.2746     2020-10-01 18:00:00    -0.362
   -10.9875  105.2746     2020-10-01 19:00:00    -0.414
   -10.9875  105.2746     2020-10-01 20:00:00    -0.356
   -10.9875  105.2746     2020-10-01 21:00:00    -0.204
   -10.9875  105.2746     2020-10-01 22:00:00     0.005
   -10.9875  105.2746     2020-10-01 23:00:00     0.214
   -10.9875  105.2746     2020-10-02 00:00:00     0.369
   -10.9875  105.2746     2020-10-02 01:00:00     0.429
   -10.9875  105.2746     2020-10-02 02:00:00     0.376
   -10.9875  105.2746     2020-10-02 03:00:00     0.223
   -10.9875  105.2746     2020-10-02 04:00:00     0.009
   -10.9875  105.2746     2020-10-02 05:00:00    -0.212
   -10.9875  105.2746     2020-10-02 06:00:00    -0.381
   -10.9875  105.2746     2020-10-02 07:00:00    -0.455
   -10.9875  105.2746     2020-10-02 08:00:00    -0.411
   -10.9875  105.2746     2020-10-02 09:00:00    -0.259
   -10.9875  105.2746     2020-10-02 10:00:00    -0.037
   -10.9875  105.2746     2020-10-02 11:00:00     0.200
   -10.9875  105.2746     2020-10-02 12:00:00     0.392
   -10.9875  105.2746     2020-10-02 13:00:00     0.489
   -10.9875  105.2746     2020-10-02 14:00:00     0.466
   -10.9875  105.2746     2020-10-02 15:00:00     0.328
   -10.9875  105.2746     2020-10-02 16:00:00     0.110
   -10.9875  105.2746     2020-10-02 17:00:00    -0.135
   -10.9875  105.2746     2020-10-02 18:00:00    -0.343
   -10.9875  105.2746     2020-10-02 19:00:00    -0.464
   -10.9875  105.2746     2020-10-02 20:00:00    -0.468
   -10.9875  105.2746     2020-10-02 21:00:00    -0.355
   -10.9875  105.2746     2020-10-02 22:00:00    -0.156
   -10.9875  105.2746     2020-10-02 23:00:00     0.075
   -10.9875  105.2746     2020-10-03 00:00:00     0.279
   -10.9875  105.2746     2020-10-03 01:00:00     0.401
   -10.9875  105.2746     2020-10-03 02:00:00     0.410
   -10.9875  105.2746     2020-10-03 03:00:00     0.304
   -10.9875  105.2746     2020-10-03 04:00:00     0.111
   -10.9875  105.2746     2020-10-03 05:00:00    -0.117
   -10.9875  105.2746     2020-10-03 06:00:00    -0.319
   -10.9875  105.2746     2020-10-03 07:00:00    -0.438
   -10.9875  105.2746     2020-10-03 08:00:00    -0.441
   -10.9875  105.2746     2020-10-03 09:00:00    -0.323
   -10.9875  105.2746     2020-10-03 10:00:00    -0.112
   -10.9875  105.2746     2020-10-03 11:00:00     0.142
   -10.9875  105.2746     2020-10-03 12:00:00     0.373
   -10.9875  105.2746     2020-10-03 13:00:00     0.523
   -10.9875  105.2746     2020-10-03 14:00:00     0.553
   -10.9875  105.2746     2020-10-03 15:00:00     0.453
