 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -2.3369  121.9083     2020-10-01 00:00:00    -0.316
    -2.3369  121.9083     2020-10-01 01:00:00    -0.169
    -2.3369  121.9083     2020-10-01 02:00:00     0.037
    -2.3369  121.9083     2020-10-01 03:00:00     0.245
    -2.3369  121.9083     2020-10-01 04:00:00     0.398
    -2.3369  121.9083     2020-10-01 05:00:00     0.450
    -2.3369  121.9083     2020-10-01 06:00:00     0.383
    -2.3369  121.9083     2020-10-01 07:00:00     0.209
    -2.3369  121.9083     2020-10-01 08:00:00    -0.032
    -2.3369  121.9083     2020-10-01 09:00:00    -0.281
    -2.3369  121.9083     2020-10-01 10:00:00    -0.474
    -2.3369  121.9083     2020-10-01 11:00:00    -0.562
    -2.3369  121.9083     2020-10-01 12:00:00    -0.520
    -2.3369  121.9083     2020-10-01 13:00:00    -0.355
    -2.3369  121.9083     2020-10-01 14:00:00    -0.107
    -2.3369  121.9083     2020-10-01 15:00:00     0.166
    -2.3369  121.9083     2020-10-01 16:00:00     0.395
    -2.3369  121.9083     2020-10-01 17:00:00     0.524
    -2.3369  121.9083     2020-10-01 18:00:00     0.523
    -2.3369  121.9083     2020-10-01 19:00:00     0.392
    -2.3369  121.9083     2020-10-01 20:00:00     0.166
    -2.3369  121.9083     2020-10-01 21:00:00    -0.097
    -2.3369  121.9083     2020-10-01 22:00:00    -0.329
    -2.3369  121.9083     2020-10-01 23:00:00    -0.471
    -2.3369  121.9083     2020-10-02 00:00:00    -0.486
    -2.3369  121.9083     2020-10-02 01:00:00    -0.370
    -2.3369  121.9083     2020-10-02 02:00:00    -0.155
    -2.3369  121.9083     2020-10-02 03:00:00     0.104
    -2.3369  121.9083     2020-10-02 04:00:00     0.338
    -2.3369  121.9083     2020-10-02 05:00:00     0.485
    -2.3369  121.9083     2020-10-02 06:00:00     0.506
    -2.3369  121.9083     2020-10-02 07:00:00     0.393
    -2.3369  121.9083     2020-10-02 08:00:00     0.175
    -2.3369  121.9083     2020-10-02 09:00:00    -0.093
    -2.3369  121.9083     2020-10-02 10:00:00    -0.341
    -2.3369  121.9083     2020-10-02 11:00:00    -0.504
    -2.3369  121.9083     2020-10-02 12:00:00    -0.538
    -2.3369  121.9083     2020-10-02 13:00:00    -0.432
    -2.3369  121.9083     2020-10-02 14:00:00    -0.211
    -2.3369  121.9083     2020-10-02 15:00:00     0.069
    -2.3369  121.9083     2020-10-02 16:00:00     0.337
    -2.3369  121.9083     2020-10-02 17:00:00     0.524
    -2.3369  121.9083     2020-10-02 18:00:00     0.581
    -2.3369  121.9083     2020-10-02 19:00:00     0.491
    -2.3369  121.9083     2020-10-02 20:00:00     0.274
    -2.3369  121.9083     2020-10-02 21:00:00    -0.015
    -2.3369  121.9083     2020-10-02 22:00:00    -0.305
    -2.3369  121.9083     2020-10-02 23:00:00    -0.523
    -2.3369  121.9083     2020-10-03 00:00:00    -0.614
    -2.3369  121.9083     2020-10-03 01:00:00    -0.557
    -2.3369  121.9083     2020-10-03 02:00:00    -0.364
    -2.3369  121.9083     2020-10-03 03:00:00    -0.087
    -2.3369  121.9083     2020-10-03 04:00:00     0.205
    -2.3369  121.9083     2020-10-03 05:00:00     0.437
    -2.3369  121.9083     2020-10-03 06:00:00     0.553
    -2.3369  121.9083     2020-10-03 07:00:00     0.523
    -2.3369  121.9083     2020-10-03 08:00:00     0.359
    -2.3369  121.9083     2020-10-03 09:00:00     0.106
    -2.3369  121.9083     2020-10-03 10:00:00    -0.168
    -2.3369  121.9083     2020-10-03 11:00:00    -0.389
    -2.3369  121.9083     2020-10-03 12:00:00    -0.497
    -2.3369  121.9083     2020-10-03 13:00:00    -0.462
    -2.3369  121.9083     2020-10-03 14:00:00    -0.292
    -2.3369  121.9083     2020-10-03 15:00:00    -0.030
    -2.3369  121.9083     2020-10-03 16:00:00     0.256
    -2.3369  121.9083     2020-10-03 17:00:00     0.488
    -2.3369  121.9083     2020-10-03 18:00:00     0.604
    -2.3369  121.9083     2020-10-03 19:00:00     0.570
    -2.3369  121.9083     2020-10-03 20:00:00     0.387
    -2.3369  121.9083     2020-10-03 21:00:00     0.099
    -2.3369  121.9083     2020-10-03 22:00:00    -0.226
