 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     2.9287  126.5091     2020-10-01 00:00:00     0.221
     2.9287  126.5091     2020-10-01 01:00:00    -0.171
     2.9287  126.5091     2020-10-01 02:00:00    -0.521
     2.9287  126.5091     2020-10-01 03:00:00    -0.740
     2.9287  126.5091     2020-10-01 04:00:00    -0.774
     2.9287  126.5091     2020-10-01 05:00:00    -0.614
     2.9287  126.5091     2020-10-01 06:00:00    -0.303
     2.9287  126.5091     2020-10-01 07:00:00     0.080
     2.9287  126.5091     2020-10-01 08:00:00     0.435
     2.9287  126.5091     2020-10-01 09:00:00     0.669
     2.9287  126.5091     2020-10-01 10:00:00     0.722
     2.9287  126.5091     2020-10-01 11:00:00     0.581
     2.9287  126.5091     2020-10-01 12:00:00     0.282
     2.9287  126.5091     2020-10-01 13:00:00    -0.096
     2.9287  126.5091     2020-10-01 14:00:00    -0.453
     2.9287  126.5091     2020-10-01 15:00:00    -0.694
     2.9287  126.5091     2020-10-01 16:00:00    -0.755
     2.9287  126.5091     2020-10-01 17:00:00    -0.618
     2.9287  126.5091     2020-10-01 18:00:00    -0.316
     2.9287  126.5091     2020-10-01 19:00:00     0.075
     2.9287  126.5091     2020-10-01 20:00:00     0.452
     2.9287  126.5091     2020-10-01 21:00:00     0.719
     2.9287  126.5091     2020-10-01 22:00:00     0.805
     2.9287  126.5091     2020-10-01 23:00:00     0.687
     2.9287  126.5091     2020-10-02 00:00:00     0.395
     2.9287  126.5091     2020-10-02 01:00:00     0.002
     2.9287  126.5091     2020-10-02 02:00:00    -0.389
     2.9287  126.5091     2020-10-02 03:00:00    -0.679
     2.9287  126.5091     2020-10-02 04:00:00    -0.791
     2.9287  126.5091     2020-10-02 05:00:00    -0.697
     2.9287  126.5091     2020-10-02 06:00:00    -0.420
     2.9287  126.5091     2020-10-02 07:00:00    -0.034
     2.9287  126.5091     2020-10-02 08:00:00     0.363
     2.9287  126.5091     2020-10-02 09:00:00     0.667
     2.9287  126.5091     2020-10-02 10:00:00     0.797
     2.9287  126.5091     2020-10-02 11:00:00     0.720
     2.9287  126.5091     2020-10-02 12:00:00     0.454
     2.9287  126.5091     2020-10-02 13:00:00     0.067
     2.9287  126.5091     2020-10-02 14:00:00    -0.341
     2.9287  126.5091     2020-10-02 15:00:00    -0.665
     2.9287  126.5091     2020-10-02 16:00:00    -0.822
     2.9287  126.5091     2020-10-02 17:00:00    -0.770
     2.9287  126.5091     2020-10-02 18:00:00    -0.524
     2.9287  126.5091     2020-10-02 19:00:00    -0.147
     2.9287  126.5091     2020-10-02 20:00:00     0.264
     2.9287  126.5091     2020-10-02 21:00:00     0.601
     2.9287  126.5091     2020-10-02 22:00:00     0.779
     2.9287  126.5091     2020-10-02 23:00:00     0.753
     2.9287  126.5091     2020-10-03 00:00:00     0.530
     2.9287  126.5091     2020-10-03 01:00:00     0.170
     2.9287  126.5091     2020-10-03 02:00:00    -0.233
     2.9287  126.5091     2020-10-03 03:00:00    -0.570
     2.9287  126.5091     2020-10-03 04:00:00    -0.754
     2.9287  126.5091     2020-10-03 05:00:00    -0.735
     2.9287  126.5091     2020-10-03 06:00:00    -0.516
     2.9287  126.5091     2020-10-03 07:00:00    -0.154
     2.9287  126.5091     2020-10-03 08:00:00     0.258
     2.9287  126.5091     2020-10-03 09:00:00     0.613
     2.9287  126.5091     2020-10-03 10:00:00     0.817
     2.9287  126.5091     2020-10-03 11:00:00     0.817
     2.9287  126.5091     2020-10-03 12:00:00     0.610
     2.9287  126.5091     2020-10-03 13:00:00     0.247
     2.9287  126.5091     2020-10-03 14:00:00    -0.180
     2.9287  126.5091     2020-10-03 15:00:00    -0.563
