 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     2.5526  121.2005     2020-10-01 00:00:00     0.407
     2.5526  121.2005     2020-10-01 01:00:00    -0.081
     2.5526  121.2005     2020-10-01 02:00:00    -0.545
     2.5526  121.2005     2020-10-01 03:00:00    -0.868
     2.5526  121.2005     2020-10-01 04:00:00    -0.968
     2.5526  121.2005     2020-10-01 05:00:00    -0.820
     2.5526  121.2005     2020-10-01 06:00:00    -0.464
     2.5526  121.2005     2020-10-01 07:00:00     0.007
     2.5526  121.2005     2020-10-01 08:00:00     0.469
     2.5526  121.2005     2020-10-01 09:00:00     0.802
     2.5526  121.2005     2020-10-01 10:00:00     0.917
     2.5526  121.2005     2020-10-01 11:00:00     0.784
     2.5526  121.2005     2020-10-01 12:00:00     0.437
     2.5526  121.2005     2020-10-01 13:00:00    -0.033
     2.5526  121.2005     2020-10-01 14:00:00    -0.504
     2.5526  121.2005     2020-10-01 15:00:00    -0.850
     2.5526  121.2005     2020-10-01 16:00:00    -0.979
     2.5526  121.2005     2020-10-01 17:00:00    -0.853
     2.5526  121.2005     2020-10-01 18:00:00    -0.503
     2.5526  121.2005     2020-10-01 19:00:00    -0.016
     2.5526  121.2005     2020-10-01 20:00:00     0.482
     2.5526  121.2005     2020-10-01 21:00:00     0.863
     2.5526  121.2005     2020-10-01 22:00:00     1.027
     2.5526  121.2005     2020-10-01 23:00:00     0.931
     2.5526  121.2005     2020-10-02 00:00:00     0.598
     2.5526  121.2005     2020-10-02 01:00:00     0.113
     2.5526  121.2005     2020-10-02 02:00:00    -0.399
     2.5526  121.2005     2020-10-02 03:00:00    -0.805
     2.5526  121.2005     2020-10-02 04:00:00    -1.001
     2.5526  121.2005     2020-10-02 05:00:00    -0.935
     2.5526  121.2005     2020-10-02 06:00:00    -0.625
     2.5526  121.2005     2020-10-02 07:00:00    -0.150
     2.5526  121.2005     2020-10-02 08:00:00     0.366
     2.5526  121.2005     2020-10-02 09:00:00     0.789
     2.5526  121.2005     2020-10-02 10:00:00     1.007
     2.5526  121.2005     2020-10-02 11:00:00     0.963
     2.5526  121.2005     2020-10-02 12:00:00     0.668
     2.5526  121.2005     2020-10-02 13:00:00     0.196
     2.5526  121.2005     2020-10-02 14:00:00    -0.330
     2.5526  121.2005     2020-10-02 15:00:00    -0.774
     2.5526  121.2005     2020-10-02 16:00:00    -1.022
     2.5526  121.2005     2020-10-02 17:00:00    -1.008
     2.5526  121.2005     2020-10-02 18:00:00    -0.737
     2.5526  121.2005     2020-10-02 19:00:00    -0.279
     2.5526  121.2005     2020-10-02 20:00:00     0.248
     2.5526  121.2005     2020-10-02 21:00:00     0.706
     2.5526  121.2005     2020-10-02 22:00:00     0.976
     2.5526  121.2005     2020-10-02 23:00:00     0.990
     2.5526  121.2005     2020-10-03 00:00:00     0.742
     2.5526  121.2005     2020-10-03 01:00:00     0.299
     2.5526  121.2005     2020-10-03 02:00:00    -0.222
     2.5526  121.2005     2020-10-03 03:00:00    -0.686
     2.5526  121.2005     2020-10-03 04:00:00    -0.969
     2.5526  121.2005     2020-10-03 05:00:00    -0.997
     2.5526  121.2005     2020-10-03 06:00:00    -0.759
     2.5526  121.2005     2020-10-03 07:00:00    -0.316
     2.5526  121.2005     2020-10-03 08:00:00     0.218
     2.5526  121.2005     2020-10-03 09:00:00     0.705
     2.5526  121.2005     2020-10-03 10:00:00     1.020
     2.5526  121.2005     2020-10-03 11:00:00     1.079
     2.5526  121.2005     2020-10-03 12:00:00     0.867
     2.5526  121.2005     2020-10-03 13:00:00     0.437
     2.5526  121.2005     2020-10-03 14:00:00    -0.101
     2.5526  121.2005     2020-10-03 15:00:00    -0.611
     2.5526  121.2005     2020-10-03 16:00:00    -0.963
     2.5526  121.2005     2020-10-03 17:00:00    -1.070
     2.5526  121.2005     2020-10-03 18:00:00    -0.906
     2.5526  121.2005     2020-10-03 19:00:00    -0.517
     2.5526  121.2005     2020-10-03 20:00:00    -0.008
     2.5526  121.2005     2020-10-03 21:00:00     0.489
     2.5526  121.2005     2020-10-03 22:00:00     0.843
     2.5526  121.2005     2020-10-03 23:00:00     0.963
     2.5526  121.2005     2020-10-04 00:00:00     0.819
     2.5526  121.2005     2020-10-04 01:00:00     0.452
     2.5526  121.2005     2020-10-04 02:00:00    -0.041
     2.5526  121.2005     2020-10-04 03:00:00    -0.527
     2.5526  121.2005     2020-10-04 04:00:00    -0.876
     2.5526  121.2005     2020-10-04 05:00:00    -0.994
     2.5526  121.2005     2020-10-04 06:00:00    -0.847
     2.5526  121.2005     2020-10-04 07:00:00    -0.469
     2.5526  121.2005     2020-10-04 08:00:00     0.044
     2.5526  121.2005     2020-10-04 09:00:00     0.562
     2.5526  121.2005     2020-10-04 10:00:00     0.952
     2.5526  121.2005     2020-10-04 11:00:00     1.114
     2.5526  121.2005     2020-10-04 12:00:00     1.005
     2.5526  121.2005     2020-10-04 13:00:00     0.653
