 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     1.8003  131.1099     2020-10-01 00:00:00     0.164
     1.8003  131.1099     2020-10-01 01:00:00    -0.187
     1.8003  131.1099     2020-10-01 02:00:00    -0.499
     1.8003  131.1099     2020-10-01 03:00:00    -0.692
     1.8003  131.1099     2020-10-01 04:00:00    -0.717
     1.8003  131.1099     2020-10-01 05:00:00    -0.568
     1.8003  131.1099     2020-10-01 06:00:00    -0.281
     1.8003  131.1099     2020-10-01 07:00:00     0.070
     1.8003  131.1099     2020-10-01 08:00:00     0.396
     1.8003  131.1099     2020-10-01 09:00:00     0.615
     1.8003  131.1099     2020-10-01 10:00:00     0.671
     1.8003  131.1099     2020-10-01 11:00:00     0.551
     1.8003  131.1099     2020-10-01 12:00:00     0.288
     1.8003  131.1099     2020-10-01 13:00:00    -0.051
     1.8003  131.1099     2020-10-01 14:00:00    -0.374
     1.8003  131.1099     2020-10-01 15:00:00    -0.599
     1.8003  131.1099     2020-10-01 16:00:00    -0.665
     1.8003  131.1099     2020-10-01 17:00:00    -0.554
     1.8003  131.1099     2020-10-01 18:00:00    -0.295
     1.8003  131.1099     2020-10-01 19:00:00     0.047
     1.8003  131.1099     2020-10-01 20:00:00     0.381
     1.8003  131.1099     2020-10-01 21:00:00     0.622
     1.8003  131.1099     2020-10-01 22:00:00     0.706
     1.8003  131.1099     2020-10-01 23:00:00     0.609
     1.8003  131.1099     2020-10-02 00:00:00     0.357
     1.8003  131.1099     2020-10-02 01:00:00     0.012
     1.8003  131.1099     2020-10-02 02:00:00    -0.335
     1.8003  131.1099     2020-10-02 03:00:00    -0.596
     1.8003  131.1099     2020-10-02 04:00:00    -0.703
     1.8003  131.1099     2020-10-02 05:00:00    -0.628
     1.8003  131.1099     2020-10-02 06:00:00    -0.390
     1.8003  131.1099     2020-10-02 07:00:00    -0.049
     1.8003  131.1099     2020-10-02 08:00:00     0.305
     1.8003  131.1099     2020-10-02 09:00:00     0.582
     1.8003  131.1099     2020-10-02 10:00:00     0.708
     1.8003  131.1099     2020-10-02 11:00:00     0.651
     1.8003  131.1099     2020-10-02 12:00:00     0.424
     1.8003  131.1099     2020-10-02 13:00:00     0.084
     1.8003  131.1099     2020-10-02 14:00:00    -0.281
     1.8003  131.1099     2020-10-02 15:00:00    -0.579
     1.8003  131.1099     2020-10-02 16:00:00    -0.733
     1.8003  131.1099     2020-10-02 17:00:00    -0.703
     1.8003  131.1099     2020-10-02 18:00:00    -0.499
     1.8003  131.1099     2020-10-02 19:00:00    -0.171
     1.8003  131.1099     2020-10-02 20:00:00     0.195
     1.8003  131.1099     2020-10-02 21:00:00     0.506
     1.8003  131.1099     2020-10-02 22:00:00     0.683
     1.8003  131.1099     2020-10-02 23:00:00     0.682
     1.8003  131.1099     2020-10-03 00:00:00     0.506
     1.8003  131.1099     2020-10-03 01:00:00     0.202
     1.8003  131.1099     2020-10-03 02:00:00    -0.148
     1.8003  131.1099     2020-10-03 03:00:00    -0.452
     1.8003  131.1099     2020-10-03 04:00:00    -0.630
     1.8003  131.1099     2020-10-03 05:00:00    -0.634
     1.8003  131.1099     2020-10-03 06:00:00    -0.462
     1.8003  131.1099     2020-10-03 07:00:00    -0.160
     1.8003  131.1099     2020-10-03 08:00:00     0.195
     1.8003  131.1099     2020-10-03 09:00:00     0.509
     1.8003  131.1099     2020-10-03 10:00:00     0.699
     1.8003  131.1099     2020-10-03 11:00:00     0.712
     1.8003  131.1099     2020-10-03 12:00:00     0.543
     1.8003  131.1099     2020-10-03 13:00:00     0.231
