 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
    -2.3369  135.3568     2020-10-01 00:00:00     0.287
    -2.3369  135.3568     2020-10-01 01:00:00    -0.152
    -2.3369  135.3568     2020-10-01 02:00:00    -0.564
    -2.3369  135.3568     2020-10-01 03:00:00    -0.844
    -2.3369  135.3568     2020-10-01 04:00:00    -0.919
    -2.3369  135.3568     2020-10-01 05:00:00    -0.769
    -2.3369  135.3568     2020-10-01 06:00:00    -0.430
    -2.3369  135.3568     2020-10-01 07:00:00     0.013
    -2.3369  135.3568     2020-10-01 08:00:00     0.447
    -2.3369  135.3568     2020-10-01 09:00:00     0.763
    -2.3369  135.3568     2020-10-01 10:00:00     0.881
    -2.3369  135.3568     2020-10-01 11:00:00     0.771
    -2.3369  135.3568     2020-10-01 12:00:00     0.463
    -2.3369  135.3568     2020-10-01 13:00:00     0.038
    -2.3369  135.3568     2020-10-01 14:00:00    -0.395
    -2.3369  135.3568     2020-10-01 15:00:00    -0.722
    -2.3369  135.3568     2020-10-01 16:00:00    -0.859
    -2.3369  135.3568     2020-10-01 17:00:00    -0.769
    -2.3369  135.3568     2020-10-01 18:00:00    -0.476
    -2.3369  135.3568     2020-10-01 19:00:00    -0.055
    -2.3369  135.3568     2020-10-01 20:00:00     0.385
    -2.3369  135.3568     2020-10-01 21:00:00     0.728
    -2.3369  135.3568     2020-10-01 22:00:00     0.886
    -2.3369  135.3568     2020-10-01 23:00:00     0.816
    -2.3369  135.3568     2020-10-02 00:00:00     0.535
    -2.3369  135.3568     2020-10-02 01:00:00     0.116
    -2.3369  135.3568     2020-10-02 02:00:00    -0.334
    -2.3369  135.3568     2020-10-02 03:00:00    -0.699
    -2.3369  135.3568     2020-10-02 04:00:00    -0.882
    -2.3369  135.3568     2020-10-02 05:00:00    -0.837
    -2.3369  135.3568     2020-10-02 06:00:00    -0.573
    -2.3369  135.3568     2020-10-02 07:00:00    -0.159
    -2.3369  135.3568     2020-10-02 08:00:00     0.299
    -2.3369  135.3568     2020-10-02 09:00:00     0.682
    -2.3369  135.3568     2020-10-02 10:00:00     0.891
    -2.3369  135.3568     2020-10-02 11:00:00     0.871
    -2.3369  135.3568     2020-10-02 12:00:00     0.624
    -2.3369  135.3568     2020-10-02 13:00:00     0.213
    -2.3369  135.3568     2020-10-02 14:00:00    -0.257
    -2.3369  135.3568     2020-10-02 15:00:00    -0.667
    -2.3369  135.3568     2020-10-02 16:00:00    -0.913
    -2.3369  135.3568     2020-10-02 17:00:00    -0.930
    -2.3369  135.3568     2020-10-02 18:00:00    -0.717
    -2.3369  135.3568     2020-10-02 19:00:00    -0.326
    -2.3369  135.3568     2020-10-02 20:00:00     0.141
    -2.3369  135.3568     2020-10-02 21:00:00     0.565
    -2.3369  135.3568     2020-10-02 22:00:00     0.839
    -2.3369  135.3568     2020-10-02 23:00:00     0.895
    -2.3369  135.3568     2020-10-03 00:00:00     0.721
    -2.3369  135.3568     2020-10-03 01:00:00     0.364
    -2.3369  135.3568     2020-10-03 02:00:00    -0.079
    -2.3369  135.3568     2020-10-03 03:00:00    -0.491
    -2.3369  135.3568     2020-10-03 04:00:00    -0.764
    -2.3369  135.3568     2020-10-03 05:00:00    -0.826
    -2.3369  135.3568     2020-10-03 06:00:00    -0.660
    -2.3369  135.3568     2020-10-03 07:00:00    -0.309
    -2.3369  135.3568     2020-10-03 08:00:00     0.135
    -2.3369  135.3568     2020-10-03 09:00:00     0.556
    -2.3369  135.3568     2020-10-03 10:00:00     0.841
    -2.3369  135.3568     2020-10-03 11:00:00     0.913
    -2.3369  135.3568     2020-10-03 12:00:00     0.751
    -2.3369  135.3568     2020-10-03 13:00:00     0.391
    -2.3369  135.3568     2020-10-03 14:00:00    -0.078
    -2.3369  135.3568     2020-10-03 15:00:00    -0.539
    -2.3369  135.3568     2020-10-03 16:00:00    -0.877
    -2.3369  135.3568     2020-10-03 17:00:00    -1.007
    -2.3369  135.3568     2020-10-03 18:00:00    -0.899
    -2.3369  135.3568     2020-10-03 19:00:00    -0.580
    -2.3369  135.3568     2020-10-03 20:00:00    -0.133
    -2.3369  135.3568     2020-10-03 21:00:00     0.329
