 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     5.1854  109.5215     2020-10-01 00:00:00     0.068
     5.1854  109.5215     2020-10-01 01:00:00     0.074
     5.1854  109.5215     2020-10-01 02:00:00     0.111
     5.1854  109.5215     2020-10-01 03:00:00     0.162
     5.1854  109.5215     2020-10-01 04:00:00     0.207
     5.1854  109.5215     2020-10-01 05:00:00     0.222
     5.1854  109.5215     2020-10-01 06:00:00     0.194
     5.1854  109.5215     2020-10-01 07:00:00     0.117
     5.1854  109.5215     2020-10-01 08:00:00    -0.001
     5.1854  109.5215     2020-10-01 09:00:00    -0.139
     5.1854  109.5215     2020-10-01 10:00:00    -0.272
     5.1854  109.5215     2020-10-01 11:00:00    -0.370
     5.1854  109.5215     2020-10-01 12:00:00    -0.413
     5.1854  109.5215     2020-10-01 13:00:00    -0.391
     5.1854  109.5215     2020-10-01 14:00:00    -0.309
     5.1854  109.5215     2020-10-01 15:00:00    -0.182
     5.1854  109.5215     2020-10-01 16:00:00    -0.040
     5.1854  109.5215     2020-10-01 17:00:00     0.090
     5.1854  109.5215     2020-10-01 18:00:00     0.183
     5.1854  109.5215     2020-10-01 19:00:00     0.222
     5.1854  109.5215     2020-10-01 20:00:00     0.208
     5.1854  109.5215     2020-10-01 21:00:00     0.151
     5.1854  109.5215     2020-10-01 22:00:00     0.073
     5.1854  109.5215     2020-10-01 23:00:00     0.001
     5.1854  109.5215     2020-10-02 00:00:00    -0.045
     5.1854  109.5215     2020-10-02 01:00:00    -0.049
     5.1854  109.5215     2020-10-02 02:00:00    -0.012
     5.1854  109.5215     2020-10-02 03:00:00     0.057
     5.1854  109.5215     2020-10-02 04:00:00     0.135
     5.1854  109.5215     2020-10-02 05:00:00     0.198
     5.1854  109.5215     2020-10-02 06:00:00     0.224
     5.1854  109.5215     2020-10-02 07:00:00     0.201
     5.1854  109.5215     2020-10-02 08:00:00     0.129
     5.1854  109.5215     2020-10-02 09:00:00     0.020
     5.1854  109.5215     2020-10-02 10:00:00    -0.102
     5.1854  109.5215     2020-10-02 11:00:00    -0.210
     5.1854  109.5215     2020-10-02 12:00:00    -0.279
     5.1854  109.5215     2020-10-02 13:00:00    -0.294
     5.1854  109.5215     2020-10-02 14:00:00    -0.250
     5.1854  109.5215     2020-10-02 15:00:00    -0.160
     5.1854  109.5215     2020-10-02 16:00:00    -0.044
     5.1854  109.5215     2020-10-02 17:00:00     0.068
     5.1854  109.5215     2020-10-02 18:00:00     0.152
     5.1854  109.5215     2020-10-02 19:00:00     0.188
     5.1854  109.5215     2020-10-02 20:00:00     0.169
     5.1854  109.5215     2020-10-02 21:00:00     0.104
     5.1854  109.5215     2020-10-02 22:00:00     0.012
     5.1854  109.5215     2020-10-02 23:00:00    -0.082
     5.1854  109.5215     2020-10-03 00:00:00    -0.151
     5.1854  109.5215     2020-10-03 01:00:00    -0.178
     5.1854  109.5215     2020-10-03 02:00:00    -0.153
     5.1854  109.5215     2020-10-03 03:00:00    -0.083
