 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     3.6809  103.8590     2020-10-01 00:00:00     0.753
     3.6809  103.8590     2020-10-01 01:00:00     0.901
     3.6809  103.8590     2020-10-01 02:00:00     0.871
     3.6809  103.8590     2020-10-01 03:00:00     0.674
     3.6809  103.8590     2020-10-01 04:00:00     0.360
     3.6809  103.8590     2020-10-01 05:00:00     0.007
     3.6809  103.8590     2020-10-01 06:00:00    -0.301
     3.6809  103.8590     2020-10-01 07:00:00    -0.494
     3.6809  103.8590     2020-10-01 08:00:00    -0.533
     3.6809  103.8590     2020-10-01 09:00:00    -0.419
     3.6809  103.8590     2020-10-01 10:00:00    -0.195
     3.6809  103.8590     2020-10-01 11:00:00     0.071
     3.6809  103.8590     2020-10-01 12:00:00     0.297
     3.6809  103.8590     2020-10-01 13:00:00     0.415
     3.6809  103.8590     2020-10-01 14:00:00     0.387
     3.6809  103.8590     2020-10-01 15:00:00     0.215
     3.6809  103.8590     2020-10-01 16:00:00    -0.059
     3.6809  103.8590     2020-10-01 17:00:00    -0.363
     3.6809  103.8590     2020-10-01 18:00:00    -0.615
     3.6809  103.8590     2020-10-01 19:00:00    -0.742
     3.6809  103.8590     2020-10-01 20:00:00    -0.702
     3.6809  103.8590     2020-10-01 21:00:00    -0.495
     3.6809  103.8590     2020-10-01 22:00:00    -0.164
     3.6809  103.8590     2020-10-01 23:00:00     0.217
     3.6809  103.8590     2020-10-02 00:00:00     0.558
     3.6809  103.8590     2020-10-02 01:00:00     0.778
     3.6809  103.8590     2020-10-02 02:00:00     0.825
     3.6809  103.8590     2020-10-02 03:00:00     0.689
     3.6809  103.8590     2020-10-02 04:00:00     0.406
     3.6809  103.8590     2020-10-02 05:00:00     0.048
     3.6809  103.8590     2020-10-02 06:00:00    -0.298
     3.6809  103.8590     2020-10-02 07:00:00    -0.545
     3.6809  103.8590     2020-10-02 08:00:00    -0.635
     3.6809  103.8590     2020-10-02 09:00:00    -0.551
     3.6809  103.8590     2020-10-02 10:00:00    -0.320
     3.6809  103.8590     2020-10-02 11:00:00    -0.007
     3.6809  103.8590     2020-10-02 12:00:00     0.301
     3.6809  103.8590     2020-10-02 13:00:00     0.522
     3.6809  103.8590     2020-10-02 14:00:00     0.594
     3.6809  103.8590     2020-10-02 15:00:00     0.496
     3.6809  103.8590     2020-10-02 16:00:00     0.254
     3.6809  103.8590     2020-10-02 17:00:00    -0.071
     3.6809  103.8590     2020-10-02 18:00:00    -0.392
     3.6809  103.8590     2020-10-02 19:00:00    -0.624
     3.6809  103.8590     2020-10-02 20:00:00    -0.704
     3.6809  103.8590     2020-10-02 21:00:00    -0.608
