 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     1.0481  133.9411     2020-10-01 00:00:00     0.150
     1.0481  133.9411     2020-10-01 01:00:00    -0.173
     1.0481  133.9411     2020-10-01 02:00:00    -0.462
     1.0481  133.9411     2020-10-01 03:00:00    -0.643
     1.0481  133.9411     2020-10-01 04:00:00    -0.670
     1.0481  133.9411     2020-10-01 05:00:00    -0.535
     1.0481  133.9411     2020-10-01 06:00:00    -0.272
     1.0481  133.9411     2020-10-01 07:00:00     0.054
     1.0481  133.9411     2020-10-01 08:00:00     0.361
     1.0481  133.9411     2020-10-01 09:00:00     0.570
     1.0481  133.9411     2020-10-01 10:00:00     0.630
     1.0481  133.9411     2020-10-01 11:00:00     0.527
     1.0481  133.9411     2020-10-01 12:00:00     0.288
     1.0481  133.9411     2020-10-01 13:00:00    -0.023
     1.0481  133.9411     2020-10-01 14:00:00    -0.326
     1.0481  133.9411     2020-10-01 15:00:00    -0.541
     1.0481  133.9411     2020-10-01 16:00:00    -0.612
     1.0481  133.9411     2020-10-01 17:00:00    -0.520
     1.0481  133.9411     2020-10-01 18:00:00    -0.288
     1.0481  133.9411     2020-10-01 19:00:00     0.023
     1.0481  133.9411     2020-10-01 20:00:00     0.332
     1.0481  133.9411     2020-10-01 21:00:00     0.559
     1.0481  133.9411     2020-10-01 22:00:00     0.645
     1.0481  133.9411     2020-10-01 23:00:00     0.565
     1.0481  133.9411     2020-10-02 00:00:00     0.339
     1.0481  133.9411     2020-10-02 01:00:00     0.026
     1.0481  133.9411     2020-10-02 02:00:00    -0.295
     1.0481  133.9411     2020-10-02 03:00:00    -0.540
     1.0481  133.9411     2020-10-02 04:00:00    -0.646
     1.0481  133.9411     2020-10-02 05:00:00    -0.585
     1.0481  133.9411     2020-10-02 06:00:00    -0.371
     1.0481  133.9411     2020-10-02 07:00:00    -0.060
     1.0481  133.9411     2020-10-02 08:00:00     0.268
     1.0481  133.9411     2020-10-02 09:00:00     0.529
     1.0481  133.9411     2020-10-02 10:00:00     0.653
     1.0481  133.9411     2020-10-02 11:00:00     0.610
     1.0481  133.9411     2020-10-02 12:00:00     0.407
     1.0481  133.9411     2020-10-02 13:00:00     0.097
     1.0481  133.9411     2020-10-02 14:00:00    -0.242
     1.0481  133.9411     2020-10-02 15:00:00    -0.523
     1.0481  133.9411     2020-10-02 16:00:00    -0.676
     1.0481  133.9411     2020-10-02 17:00:00    -0.660
     1.0481  133.9411     2020-10-02 18:00:00    -0.481
     1.0481  133.9411     2020-10-02 19:00:00    -0.185
     1.0481  133.9411     2020-10-02 20:00:00     0.153
     1.0481  133.9411     2020-10-02 21:00:00     0.446
     1.0481  133.9411     2020-10-02 22:00:00     0.621
     1.0481  133.9411     2020-10-02 23:00:00     0.634
     1.0481  133.9411     2020-10-03 00:00:00     0.484
     1.0481  133.9411     2020-10-03 01:00:00     0.213
     1.0481  133.9411     2020-10-03 02:00:00    -0.107
     1.0481  133.9411     2020-10-03 03:00:00    -0.391
     1.0481  133.9411     2020-10-03 04:00:00    -0.564
     1.0481  133.9411     2020-10-03 05:00:00    -0.579
     1.0481  133.9411     2020-10-03 06:00:00    -0.432
