 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     2.5526  111.2911     2020-10-01 00:00:00    -0.048
     2.5526  111.2911     2020-10-01 01:00:00    -0.469
     2.5526  111.2911     2020-10-01 02:00:00    -0.713
     2.5526  111.2911     2020-10-01 03:00:00    -0.717
     2.5526  111.2911     2020-10-01 04:00:00    -0.484
     2.5526  111.2911     2020-10-01 05:00:00    -0.080
     2.5526  111.2911     2020-10-01 06:00:00     0.382
     2.5526  111.2911     2020-10-01 07:00:00     0.770
     2.5526  111.2911     2020-10-01 08:00:00     0.971
     2.5526  111.2911     2020-10-01 09:00:00     0.919
     2.5526  111.2911     2020-10-01 10:00:00     0.614
     2.5526  111.2911     2020-10-01 11:00:00     0.123
     2.5526  111.2911     2020-10-01 12:00:00    -0.439
     2.5526  111.2911     2020-10-01 13:00:00    -0.933
     2.5526  111.2911     2020-10-01 14:00:00    -1.235
     2.5526  111.2911     2020-10-01 15:00:00    -1.266
     2.5526  111.2911     2020-10-01 16:00:00    -1.015
     2.5526  111.2911     2020-10-01 17:00:00    -0.540
     2.5526  111.2911     2020-10-01 18:00:00     0.046
     2.5526  111.2911     2020-10-01 19:00:00     0.600
     2.5526  111.2911     2020-10-01 20:00:00     0.989
     2.5526  111.2911     2020-10-01 21:00:00     1.123
     2.5526  111.2911     2020-10-01 22:00:00     0.976
     2.5526  111.2911     2020-10-01 23:00:00     0.593
     2.5526  111.2911     2020-10-02 00:00:00     0.078
     2.5526  111.2911     2020-10-02 01:00:00    -0.430
     2.5526  111.2911     2020-10-02 02:00:00    -0.798
     2.5526  111.2911     2020-10-02 03:00:00    -0.929
     2.5526  111.2911     2020-10-02 04:00:00    -0.791
     2.5526  111.2911     2020-10-02 05:00:00    -0.420
     2.5526  111.2911     2020-10-02 06:00:00     0.085
     2.5526  111.2911     2020-10-02 07:00:00     0.588
     2.5526  111.2911     2020-10-02 08:00:00     0.954
     2.5526  111.2911     2020-10-02 09:00:00     1.082
     2.5526  111.2911     2020-10-02 10:00:00     0.933
     2.5526  111.2911     2020-10-02 11:00:00     0.538
     2.5526  111.2911     2020-10-02 12:00:00    -0.006
     2.5526  111.2911     2020-10-02 13:00:00    -0.564
     2.5526  111.2911     2020-10-02 14:00:00    -0.994
     2.5526  111.2911     2020-10-02 15:00:00    -1.187
     2.5526  111.2911     2020-10-02 16:00:00    -1.093
     2.5526  111.2911     2020-10-02 17:00:00    -0.736
     2.5526  111.2911     2020-10-02 18:00:00    -0.204
     2.5526  111.2911     2020-10-02 19:00:00     0.367
     2.5526  111.2911     2020-10-02 20:00:00     0.833
     2.5526  111.2911     2020-10-02 21:00:00     1.078
     2.5526  111.2911     2020-10-02 22:00:00     1.039
     2.5526  111.2911     2020-10-02 23:00:00     0.731
     2.5526  111.2911     2020-10-03 00:00:00     0.233
     2.5526  111.2911     2020-10-03 01:00:00    -0.325
     2.5526  111.2911     2020-10-03 02:00:00    -0.798
     2.5526  111.2911     2020-10-03 03:00:00    -1.062
     2.5526  111.2911     2020-10-03 04:00:00    -1.050
     2.5526  111.2911     2020-10-03 05:00:00    -0.764
     2.5526  111.2911     2020-10-03 06:00:00    -0.277
     2.5526  111.2911     2020-10-03 07:00:00     0.288
     2.5526  111.2911     2020-10-03 08:00:00     0.785
     2.5526  111.2911     2020-10-03 09:00:00     1.087
     2.5526  111.2911     2020-10-03 10:00:00     1.119
     2.5526  111.2911     2020-10-03 11:00:00     0.873
     2.5526  111.2911     2020-10-03 12:00:00     0.414
     2.5526  111.2911     2020-10-03 13:00:00    -0.140
     2.5526  111.2911     2020-10-03 14:00:00    -0.645
     2.5526  111.2911     2020-10-03 15:00:00    -0.972
     2.5526  111.2911     2020-10-03 16:00:00    -1.037
     2.5526  111.2911     2020-10-03 17:00:00    -0.827
     2.5526  111.2911     2020-10-03 18:00:00    -0.397
     2.5526  111.2911     2020-10-03 19:00:00     0.138
     2.5526  111.2911     2020-10-03 20:00:00     0.637
     2.5526  111.2911     2020-10-03 21:00:00     0.967
     2.5526  111.2911     2020-10-03 22:00:00     1.039
     2.5526  111.2911     2020-10-03 23:00:00     0.831
     2.5526  111.2911     2020-10-04 00:00:00     0.392
     2.5526  111.2911     2020-10-04 01:00:00    -0.169
     2.5526  111.2911     2020-10-04 02:00:00    -0.709
     2.5526  111.2911     2020-10-04 03:00:00    -1.092
     2.5526  111.2911     2020-10-04 04:00:00    -1.220
     2.5526  111.2911     2020-10-04 05:00:00    -1.059
     2.5526  111.2911     2020-10-04 06:00:00    -0.647
     2.5526  111.2911     2020-10-04 07:00:00    -0.086
     2.5526  111.2911     2020-10-04 08:00:00     0.485
     2.5526  111.2911     2020-10-04 09:00:00     0.929
     2.5526  111.2911     2020-10-04 10:00:00     1.140
     2.5526  111.2911     2020-10-04 11:00:00     1.073
     2.5526  111.2911     2020-10-04 12:00:00     0.754
     2.5526  111.2911     2020-10-04 13:00:00     0.273
     2.5526  111.2911     2020-10-04 14:00:00    -0.241
     2.5526  111.2911     2020-10-04 15:00:00    -0.651
     2.5526  111.2911     2020-10-04 16:00:00    -0.852
     2.5526  111.2911     2020-10-04 17:00:00    -0.796
     2.5526  111.2911     2020-10-04 18:00:00    -0.501
     2.5526  111.2911     2020-10-04 19:00:00    -0.051
     2.5526  111.2911     2020-10-04 20:00:00     0.430
     2.5526  111.2911     2020-10-04 21:00:00     0.807
     2.5526  111.2911     2020-10-04 22:00:00     0.974
     2.5526  111.2911     2020-10-04 23:00:00     0.876
     2.5526  111.2911     2020-10-05 00:00:00     0.529
     2.5526  111.2911     2020-10-05 01:00:00     0.013
     2.5526  111.2911     2020-10-05 02:00:00    -0.547
     2.5526  111.2911     2020-10-05 03:00:00    -1.014
     2.5526  111.2911     2020-10-05 04:00:00    -1.271
     2.5526  111.2911     2020-10-05 05:00:00    -1.254
     2.5526  111.2911     2020-10-05 06:00:00    -0.964
     2.5526  111.2911     2020-10-05 07:00:00    -0.471
     2.5526  111.2911     2020-10-05 08:00:00     0.108
     2.5526  111.2911     2020-10-05 09:00:00     0.636
     2.5526  111.2911     2020-10-05 10:00:00     0.993
     2.5526  111.2911     2020-10-05 11:00:00     1.103
     2.5526  111.2911     2020-10-05 12:00:00     0.956
     2.5526  111.2911     2020-10-05 13:00:00     0.603
     2.5526  111.2911     2020-10-05 14:00:00     0.149
     2.5526  111.2911     2020-10-05 15:00:00    -0.281
     2.5526  111.2911     2020-10-05 16:00:00    -0.572
     2.5526  111.2911     2020-10-05 17:00:00    -0.649
     2.5526  111.2911     2020-10-05 18:00:00    -0.498
     2.5526  111.2911     2020-10-05 19:00:00    -0.166
     2.5526  111.2911     2020-10-05 20:00:00     0.250
     2.5526  111.2911     2020-10-05 21:00:00     0.629
     2.5526  111.2911     2020-10-05 22:00:00     0.857
     2.5526  111.2911     2020-10-05 23:00:00     0.860
     2.5526  111.2911     2020-10-06 00:00:00     0.621
     2.5526  111.2911     2020-10-06 01:00:00     0.188
     2.5526  111.2911     2020-10-06 02:00:00    -0.343
     2.5526  111.2911     2020-10-06 03:00:00    -0.846
     2.5526  111.2911     2020-10-06 04:00:00    -1.201
     2.5526  111.2911     2020-10-06 05:00:00    -1.321
     2.5526  111.2911     2020-10-06 06:00:00    -1.177
     2.5526  111.2911     2020-10-06 07:00:00    -0.802
     2.5526  111.2911     2020-10-06 08:00:00    -0.281
     2.5526  111.2911     2020-10-06 09:00:00     0.264
     2.5526  111.2911     2020-10-06 10:00:00     0.712
     2.5526  111.2911     2020-10-06 11:00:00     0.970
     2.5526  111.2911     2020-10-06 12:00:00     0.994
     2.5526  111.2911     2020-10-06 13:00:00     0.800
     2.5526  111.2911     2020-10-06 14:00:00     0.458
     2.5526  111.2911     2020-10-06 15:00:00     0.071
     2.5526  111.2911     2020-10-06 16:00:00    -0.251
     2.5526  111.2911     2020-10-06 17:00:00    -0.421
     2.5526  111.2911     2020-10-06 18:00:00    -0.398
     2.5526  111.2911     2020-10-06 19:00:00    -0.194
     2.5526  111.2911     2020-10-06 20:00:00     0.125
     2.5526  111.2911     2020-10-06 21:00:00     0.463
     2.5526  111.2911     2020-10-06 22:00:00     0.713
     2.5526  111.2911     2020-10-06 23:00:00     0.793
     2.5526  111.2911     2020-10-07 00:00:00     0.660
     2.5526  111.2911     2020-10-07 01:00:00     0.331
     2.5526  111.2911     2020-10-07 02:00:00    -0.131
     2.5526  111.2911     2020-10-07 03:00:00    -0.623
     2.5526  111.2911     2020-10-07 04:00:00    -1.032
     2.5526  111.2911     2020-10-07 05:00:00    -1.264
     2.5526  111.2911     2020-10-07 06:00:00    -1.265
     2.5526  111.2911     2020-10-07 07:00:00    -1.033
     2.5526  111.2911     2020-10-07 08:00:00    -0.622
     2.5526  111.2911     2020-10-07 09:00:00    -0.124
     2.5526  111.2911     2020-10-07 10:00:00     0.353
     2.5526  111.2911     2020-10-07 11:00:00     0.709
     2.5526  111.2911     2020-10-07 12:00:00     0.881
     2.5526  111.2911     2020-10-07 13:00:00     0.850
     2.5526  111.2911     2020-10-07 14:00:00     0.651
     2.5526  111.2911     2020-10-07 15:00:00     0.357
     2.5526  111.2911     2020-10-07 16:00:00     0.060
     2.5526  111.2911     2020-10-07 17:00:00    -0.154
     2.5526  111.2911     2020-10-07 18:00:00    -0.227
     2.5526  111.2911     2020-10-07 19:00:00    -0.143
     2.5526  111.2911     2020-10-07 20:00:00     0.066
     2.5526  111.2911     2020-10-07 21:00:00     0.332
     2.5526  111.2911     2020-10-07 22:00:00     0.568
     2.5526  111.2911     2020-10-07 23:00:00     0.693
     2.5526  111.2911     2020-10-08 00:00:00     0.651
     2.5526  111.2911     2020-10-08 01:00:00     0.429
     2.5526  111.2911     2020-10-08 02:00:00     0.063
     2.5526  111.2911     2020-10-08 03:00:00    -0.377
     2.5526  111.2911     2020-10-08 04:00:00    -0.797
     2.5526  111.2911     2020-10-08 05:00:00    -1.105
     2.5526  111.2911     2020-10-08 06:00:00    -1.233
     2.5526  111.2911     2020-10-08 07:00:00    -1.152
     2.5526  111.2911     2020-10-08 08:00:00    -0.880
     2.5526  111.2911     2020-10-08 09:00:00    -0.478
     2.5526  111.2911     2020-10-08 10:00:00    -0.031
     2.5526  111.2911     2020-10-08 11:00:00     0.369
     2.5526  111.2911     2020-10-08 12:00:00     0.649
     2.5526  111.2911     2020-10-08 13:00:00     0.766
     2.5526  111.2911     2020-10-08 14:00:00     0.720
     2.5526  111.2911     2020-10-08 15:00:00     0.551
     2.5526  111.2911     2020-10-08 16:00:00     0.324
     2.5526  111.2911     2020-10-08 17:00:00     0.114
     2.5526  111.2911     2020-10-08 18:00:00    -0.016
     2.5526  111.2911     2020-10-08 19:00:00    -0.031
     2.5526  111.2911     2020-10-08 20:00:00     0.067
     2.5526  111.2911     2020-10-08 21:00:00     0.243
     2.5526  111.2911     2020-10-08 22:00:00     0.435
     2.5526  111.2911     2020-10-08 23:00:00     0.574
     2.5526  111.2911     2020-10-09 00:00:00     0.600
     2.5526  111.2911     2020-10-09 01:00:00     0.482
     2.5526  111.2911     2020-10-09 02:00:00     0.224
     2.5526  111.2911     2020-10-09 03:00:00    -0.134
     2.5526  111.2911     2020-10-09 04:00:00    -0.525
     2.5526  111.2911     2020-10-09 05:00:00    -0.870
     2.5526  111.2911     2020-10-09 06:00:00    -1.097
     2.5526  111.2911     2020-10-09 07:00:00    -1.159
     2.5526  111.2911     2020-10-09 08:00:00    -1.043
     2.5526  111.2911     2020-10-09 09:00:00    -0.774
     2.5526  111.2911     2020-10-09 10:00:00    -0.406
     2.5526  111.2911     2020-10-09 11:00:00    -0.013
     2.5526  111.2911     2020-10-09 12:00:00     0.332
     2.5526  111.2911     2020-10-09 13:00:00     0.571
     2.5526  111.2911     2020-10-09 14:00:00     0.677
     2.5526  111.2911     2020-10-09 15:00:00     0.652
     2.5526  111.2911     2020-10-09 16:00:00     0.531
     2.5526  111.2911     2020-10-09 17:00:00     0.366
     2.5526  111.2911     2020-10-09 18:00:00     0.216
     2.5526  111.2911     2020-10-09 19:00:00     0.125
     2.5526  111.2911     2020-10-09 20:00:00     0.120
     2.5526  111.2911     2020-10-09 21:00:00     0.193
     2.5526  111.2911     2020-10-09 22:00:00     0.316
     2.5526  111.2911     2020-10-09 23:00:00     0.439
     2.5526  111.2911     2020-10-10 00:00:00     0.510
     2.5526  111.2911     2020-10-10 01:00:00     0.485
     2.5526  111.2911     2020-10-10 02:00:00     0.343
     2.5526  111.2911     2020-10-10 03:00:00     0.093
     2.5526  111.2911     2020-10-10 04:00:00    -0.231
     2.5526  111.2911     2020-10-10 05:00:00    -0.572
     2.5526  111.2911     2020-10-10 06:00:00    -0.867
     2.5526  111.2911     2020-10-10 07:00:00    -1.056
     2.5526  111.2911     2020-10-10 08:00:00    -1.102
     2.5526  111.2911     2020-10-10 09:00:00    -0.993
