 
     Lat       Lon        yyyy-mm-dd hh:mm:ss (UTC)     z(m)
 
     5.1854  138.8959     2020-10-01 00:00:00     0.107
     5.1854  138.8959     2020-10-01 01:00:00    -0.150
     5.1854  138.8959     2020-10-01 02:00:00    -0.380
     5.1854  138.8959     2020-10-01 03:00:00    -0.525
     5.1854  138.8959     2020-10-01 04:00:00    -0.548
     5.1854  138.8959     2020-10-01 05:00:00    -0.441
     5.1854  138.8959     2020-10-01 06:00:00    -0.231
     5.1854  138.8959     2020-10-01 07:00:00     0.032
     5.1854  138.8959     2020-10-01 08:00:00     0.281
     5.1854  138.8959     2020-10-01 09:00:00     0.455
     5.1854  138.8959     2020-10-01 10:00:00     0.511
     5.1854  138.8959     2020-10-01 11:00:00     0.437
     5.1854  138.8959     2020-10-01 12:00:00     0.253
     5.1854  138.8959     2020-10-01 13:00:00     0.008
     5.1854  138.8959     2020-10-01 14:00:00    -0.234
     5.1854  138.8959     2020-10-01 15:00:00    -0.411
     5.1854  138.8959     2020-10-01 16:00:00    -0.475
     5.1854  138.8959     2020-10-01 17:00:00    -0.411
     5.1854  138.8959     2020-10-01 18:00:00    -0.236
     5.1854  138.8959     2020-10-01 19:00:00     0.005
     5.1854  138.8959     2020-10-01 20:00:00     0.248
     5.1854  138.8959     2020-10-01 21:00:00     0.431
     5.1854  138.8959     2020-10-01 22:00:00     0.503
     5.1854  138.8959     2020-10-01 23:00:00     0.446
     5.1854  138.8959     2020-10-02 00:00:00     0.272
     5.1854  138.8959     2020-10-02 01:00:00     0.027
     5.1854  138.8959     2020-10-02 02:00:00    -0.227
     5.1854  138.8959     2020-10-02 03:00:00    -0.425
     5.1854  138.8959     2020-10-02 04:00:00    -0.515
     5.1854  138.8959     2020-10-02 05:00:00    -0.473
     5.1854  138.8959     2020-10-02 06:00:00    -0.309
     5.1854  138.8959     2020-10-02 07:00:00    -0.065
     5.1854  138.8959     2020-10-02 08:00:00     0.198
     5.1854  138.8959     2020-10-02 09:00:00     0.411
     5.1854  138.8959     2020-10-02 10:00:00     0.519
     5.1854  138.8959     2020-10-02 11:00:00     0.494
     5.1854  138.8959     2020-10-02 12:00:00     0.342
     5.1854  138.8959     2020-10-02 13:00:00     0.100
     5.1854  138.8959     2020-10-02 14:00:00    -0.169
     5.1854  138.8959     2020-10-02 15:00:00    -0.399
     5.1854  138.8959     2020-10-02 16:00:00    -0.530
     5.1854  138.8959     2020-10-02 17:00:00    -0.530
     5.1854  138.8959     2020-10-02 18:00:00    -0.399
     5.1854  138.8959     2020-10-02 19:00:00    -0.171
     5.1854  138.8959     2020-10-02 20:00:00     0.096
     5.1854  138.8959     2020-10-02 21:00:00     0.333
     5.1854  138.8959     2020-10-02 22:00:00     0.482
     5.1854  138.8959     2020-10-02 23:00:00     0.505
     5.1854  138.8959     2020-10-03 00:00:00     0.398
     5.1854  138.8959     2020-10-03 01:00:00     0.192
     5.1854  138.8959     2020-10-03 02:00:00    -0.058
     5.1854  138.8959     2020-10-03 03:00:00    -0.287
     5.1854  138.8959     2020-10-03 04:00:00    -0.432
     5.1854  138.8959     2020-10-03 05:00:00    -0.455
     5.1854  138.8959     2020-10-03 06:00:00    -0.350
     5.1854  138.8959     2020-10-03 07:00:00    -0.144
     5.1854  138.8959     2020-10-03 08:00:00     0.109
     5.1854  138.8959     2020-10-03 09:00:00     0.343
     5.1854  138.8959     2020-10-03 10:00:00     0.494
     5.1854  138.8959     2020-10-03 11:00:00     0.522
     5.1854  138.8959     2020-10-03 12:00:00     0.416
     5.1854  138.8959     2020-10-03 13:00:00     0.200
     5.1854  138.8959     2020-10-03 14:00:00    -0.075
     5.1854  138.8959     2020-10-03 15:00:00    -0.340
     5.1854  138.8959     2020-10-03 16:00:00    -0.530
     5.1854  138.8959     2020-10-03 17:00:00    -0.599
     5.1854  138.8959     2020-10-03 18:00:00    -0.530
     5.1854  138.8959     2020-10-03 19:00:00    -0.342
     5.1854  138.8959     2020-10-03 20:00:00    -0.082
     5.1854  138.8959     2020-10-03 21:00:00     0.185
     5.1854  138.8959     2020-10-03 22:00:00     0.393
     5.1854  138.8959     2020-10-03 23:00:00     0.493
     5.1854  138.8959     2020-10-04 00:00:00     0.465
     5.1854  138.8959     2020-10-04 01:00:00     0.320
     5.1854  138.8959     2020-10-04 02:00:00     0.102
     5.1854  138.8959     2020-10-04 03:00:00    -0.129
     5.1854  138.8959     2020-10-04 04:00:00    -0.309
     5.1854  138.8959     2020-10-04 05:00:00    -0.390
     5.1854  138.8959     2020-10-04 06:00:00    -0.348
     5.1854  138.8959     2020-10-04 07:00:00    -0.196
     5.1854  138.8959     2020-10-04 08:00:00     0.027
     5.1854  138.8959     2020-10-04 09:00:00     0.261
     5.1854  138.8959     2020-10-04 10:00:00     0.441
     5.1854  138.8959     2020-10-04 11:00:00     0.517
     5.1854  138.8959     2020-10-04 12:00:00     0.464
     5.1854  138.8959     2020-10-04 13:00:00     0.290
     5.1854  138.8959     2020-10-04 14:00:00     0.034
     5.1854  138.8959     2020-10-04 15:00:00    -0.243
     5.1854  138.8959     2020-10-04 16:00:00    -0.475
     5.1854  138.8959     2020-10-04 17:00:00    -0.608
     5.1854  138.8959     2020-10-04 18:00:00    -0.609
     5.1854  138.8959     2020-10-04 19:00:00    -0.481
     5.1854  138.8959     2020-10-04 20:00:00    -0.257
     5.1854  138.8959     2020-10-04 21:00:00     0.009
     5.1854  138.8959     2020-10-04 22:00:00     0.251
     5.1854  138.8959     2020-10-04 23:00:00     0.414
     5.1854  138.8959     2020-10-05 00:00:00     0.462
     5.1854  138.8959     2020-10-05 01:00:00     0.392
     5.1854  138.8959     2020-10-05 02:00:00     0.229
     5.1854  138.8959     2020-10-05 03:00:00     0.022
     5.1854  138.8959     2020-10-05 04:00:00    -0.167
     5.1854  138.8959     2020-10-05 05:00:00    -0.287
     5.1854  138.8959     2020-10-05 06:00:00    -0.303
     5.1854  138.8959     2020-10-05 07:00:00    -0.210
     5.1854  138.8959     2020-10-05 08:00:00    -0.033
     5.1854  138.8959     2020-10-05 09:00:00     0.179
     5.1854  138.8959     2020-10-05 10:00:00     0.368
     5.1854  138.8959     2020-10-05 11:00:00     0.479
     5.1854  138.8959     2020-10-05 12:00:00     0.478
     5.1854  138.8959     2020-10-05 13:00:00     0.357
     5.1854  138.8959     2020-10-05 14:00:00     0.141
     5.1854  138.8959     2020-10-05 15:00:00    -0.124
     5.1854  138.8959     2020-10-05 16:00:00    -0.376
     5.1854  138.8959     2020-10-05 17:00:00    -0.557
     5.1854  138.8959     2020-10-05 18:00:00    -0.626
     5.1854  138.8959     2020-10-05 19:00:00    -0.569
     5.1854  138.8959     2020-10-05 20:00:00    -0.402
     5.1854  138.8959     2020-10-05 21:00:00    -0.167
     5.1854  138.8959     2020-10-05 22:00:00     0.080
     5.1854  138.8959     2020-10-05 23:00:00     0.281
     5.1854  138.8959     2020-10-06 00:00:00     0.393
     5.1854  138.8959     2020-10-06 01:00:00     0.398
     5.1854  138.8959     2020-10-06 02:00:00     0.303
     5.1854  138.8959     2020-10-06 03:00:00     0.144
     5.1854  138.8959     2020-10-06 04:00:00    -0.029
     5.1854  138.8959     2020-10-06 05:00:00    -0.165
     5.1854  138.8959     2020-10-06 06:00:00    -0.223
     5.1854  138.8959     2020-10-06 07:00:00    -0.187
     5.1854  138.8959     2020-10-06 08:00:00    -0.065
     5.1854  138.8959     2020-10-06 09:00:00     0.110
     5.1854  138.8959     2020-10-06 10:00:00     0.288
     5.1854  138.8959     2020-10-06 11:00:00     0.417
     5.1854  138.8959     2020-10-06 12:00:00     0.459
     5.1854  138.8959     2020-10-06 13:00:00     0.393
     5.1854  138.8959     2020-10-06 14:00:00     0.228
     5.1854  138.8959     2020-10-06 15:00:00    -0.002
     5.1854  138.8959     2020-10-06 16:00:00    -0.249
     5.1854  138.8959     2020-10-06 17:00:00    -0.458
     5.1854  138.8959     2020-10-06 18:00:00    -0.581
     5.1854  138.8959     2020-10-06 19:00:00    -0.595
     5.1854  138.8959     2020-10-06 20:00:00    -0.498
     5.1854  138.8959     2020-10-06 21:00:00    -0.317
     5.1854  138.8959     2020-10-06 22:00:00    -0.094
     5.1854  138.8959     2020-10-06 23:00:00     0.117
     5.1854  138.8959     2020-10-07 00:00:00     0.272
     5.1854  138.8959     2020-10-07 01:00:00     0.341
     5.1854  138.8959     2020-10-07 02:00:00     0.318
     5.1854  138.8959     2020-10-07 03:00:00     0.222
     5.1854  138.8959     2020-10-07 04:00:00     0.087
     5.1854  138.8959     2020-10-07 05:00:00    -0.041
     5.1854  138.8959     2020-10-07 06:00:00    -0.122
     5.1854  138.8959     2020-10-07 07:00:00    -0.132
     5.1854  138.8959     2020-10-07 08:00:00    -0.064
     5.1854  138.8959     2020-10-07 09:00:00     0.062
     5.1854  138.8959     2020-10-07 10:00:00     0.212
     5.1854  138.8959     2020-10-07 11:00:00     0.343
     5.1854  138.8959     2020-10-07 12:00:00     0.413
     5.1854  138.8959     2020-10-07 13:00:00     0.396
     5.1854  138.8959     2020-10-07 14:00:00     0.289
     5.1854  138.8959     2020-10-07 15:00:00     0.107
     5.1854  138.8959     2020-10-07 16:00:00    -0.113
     5.1854  138.8959     2020-10-07 17:00:00    -0.326
     5.1854  138.8959     2020-10-07 18:00:00    -0.486
     5.1854  138.8959     2020-10-07 19:00:00    -0.562
     5.1854  138.8959     2020-10-07 20:00:00    -0.538
     5.1854  138.8959     2020-10-07 21:00:00    -0.425
     5.1854  138.8959     2020-10-07 22:00:00    -0.251
     5.1854  138.8959     2020-10-07 23:00:00    -0.057
